 
file: ,ProgramData/59/673.txt
ids: ,"['ProgramData/62/2370.txt', 'ProgramData/23/599.txt', 'ProgramData/37/340.txt', 'ProgramData/85/1912.txt', 'ProgramData/75/1008.txt', 'ProgramData/103/444.txt', 'ProgramData/77/1319.txt', 'ProgramData/17/750.txt', 'ProgramData/26/104.txt', 'ProgramData/23/367.txt']"
distances: ,"[0.2013334035873413, 0.20347297191619873, 0.20694589614868164, 0.21013259887695312, 0.2105344533920288, 0.21147942543029785, 0.21428066492080688, 0.2143142819404602, 0.21465712785720825, 0.21488463878631592]"
 
file: ,ProgramData/59/1140.txt
ids: ,"['ProgramData/58/584.txt', 'ProgramData/59/905.txt', 'ProgramData/59/964.txt', 'ProgramData/59/1433.txt', 'ProgramData/59/906.txt', 'ProgramData/59/119.txt', 'ProgramData/85/2424.txt', 'ProgramData/59/1402.txt', 'ProgramData/59/241.txt', 'ProgramData/24/1486.txt']"
distances: ,"[0.2488079071044922, 0.2553131580352783, 0.25742417573928833, 0.2578263282775879, 0.2615426182746887, 0.2621082663536072, 0.26221221685409546, 0.2623399496078491, 0.26373863220214844, 0.26415354013442993]"
 
file: ,ProgramData/59/25.txt
ids: ,"['ProgramData/37/482.txt', 'ProgramData/37/1150.txt', 'ProgramData/98/2397.txt', 'ProgramData/37/1009.txt', 'ProgramData/96/845.txt', 'ProgramData/37/1049.txt', 'ProgramData/100/1466.txt', 'ProgramData/45/92.txt', 'ProgramData/37/1556.txt', 'ProgramData/100/2220.txt']"
distances: ,"[0.2022416591644287, 0.21285247802734375, 0.2193242311477661, 0.2208791971206665, 0.2211281657218933, 0.2216966152191162, 0.22220838069915771, 0.22222661972045898, 0.2222955822944641, 0.22341644763946533]"
 
file: ,ProgramData/92/1084.txt
ids: ,"['ProgramData/75/640.txt', 'ProgramData/9/603.txt', 'ProgramData/75/468.txt', 'ProgramData/22/222.txt', 'ProgramData/89/422.txt', 'ProgramData/89/817.txt', 'ProgramData/24/2546.txt', 'ProgramData/89/1290.txt', 'ProgramData/37/1653.txt', 'ProgramData/89/708.txt']"
distances: ,"[0.26359283924102783, 0.2717363238334656, 0.27275902032852173, 0.2763841152191162, 0.27707552909851074, 0.28022056818008423, 0.2803688645362854, 0.28111547231674194, 0.2876521944999695, 0.2897499203681946]"
 
file: ,ProgramData/92/1480.txt
ids: ,"['ProgramData/92/528.txt', 'ProgramData/92/1098.txt', 'ProgramData/92/597.txt', 'ProgramData/76/1020.txt', 'ProgramData/35/141.txt', 'ProgramData/15/608.txt', 'ProgramData/92/1397.txt', 'ProgramData/76/1384.txt', 'ProgramData/76/608.txt', 'ProgramData/94/2104.txt']"
distances: ,"[0.1857735514640808, 0.19176656007766724, 0.19536429643630981, 0.1974131464958191, 0.20205771923065186, 0.2023966908454895, 0.20246875286102295, 0.20463770627975464, 0.20529836416244507, 0.20544815063476562]"
 
file: ,ProgramData/92/1402.txt
ids: ,"['ProgramData/79/3781.txt', 'ProgramData/79/279.txt', 'ProgramData/79/3806.txt', 'ProgramData/79/3822.txt', 'ProgramData/2/76.txt', 'ProgramData/42/659.txt', 'ProgramData/2/946.txt', 'ProgramData/42/610.txt', 'ProgramData/94/453.txt', 'ProgramData/42/580.txt']"
distances: ,"[0.21300041675567627, 0.2154773473739624, 0.22784805297851562, 0.24441379308700562, 0.24636781215667725, 0.25295495986938477, 0.25695306062698364, 0.2582521438598633, 0.2608789801597595, 0.26295167207717896]"
 
file: ,ProgramData/66/117.txt
ids: ,"['ProgramData/56/1599.txt', 'ProgramData/22/483.txt', 'ProgramData/22/889.txt', 'ProgramData/14/310.txt', 'ProgramData/33/2000.txt', 'ProgramData/96/1128.txt', 'ProgramData/22/727.txt', 'ProgramData/16/409.txt', 'ProgramData/36/1253.txt', 'ProgramData/16/403.txt']"
distances: ,"[0.24603521823883057, 0.24644088745117188, 0.24804091453552246, 0.2582273483276367, 0.26459723711013794, 0.2662436366081238, 0.26779502630233765, 0.26809161901474, 0.2697499990463257, 0.2703965902328491]"
 
file: ,ProgramData/66/273.txt
ids: ,"['ProgramData/57/3188.txt', 'ProgramData/49/1194.txt', 'ProgramData/57/3332.txt', 'ProgramData/57/690.txt', 'ProgramData/57/1289.txt', 'ProgramData/57/186.txt', 'ProgramData/57/2509.txt', 'ProgramData/57/1079.txt', 'ProgramData/96/1252.txt', 'ProgramData/57/1469.txt']"
distances: ,"[0.20157694816589355, 0.2082170844078064, 0.2205585241317749, 0.22312623262405396, 0.22774428129196167, 0.23135453462600708, 0.23247069120407104, 0.2330145239830017, 0.23379617929458618, 0.2339453101158142]"
 
file: ,ProgramData/66/1501.txt
ids: ,"['ProgramData/2/406.txt', 'ProgramData/2/230.txt', 'ProgramData/58/274.txt', 'ProgramData/2/778.txt', 'ProgramData/2/588.txt', 'ProgramData/37/1163.txt', 'ProgramData/2/798.txt', 'ProgramData/100/288.txt', 'ProgramData/2/800.txt', 'ProgramData/55/24.txt']"
distances: ,"[0.11992543935775757, 0.12639302015304565, 0.1265939474105835, 0.13023513555526733, 0.13241547346115112, 0.13261258602142334, 0.1354438066482544, 0.13611865043640137, 0.14062631130218506, 0.14331978559494019]"
 
file: ,ProgramData/104/1625.txt
ids: ,"['ProgramData/42/726.txt', 'ProgramData/42/757.txt', 'ProgramData/94/632.txt', 'ProgramData/53/821.txt', 'ProgramData/4/2046.txt', 'ProgramData/6/3900.txt', 'ProgramData/38/919.txt', 'ProgramData/4/65.txt', 'ProgramData/10/994.txt', 'ProgramData/6/140.txt']"
distances: ,"[0.21543282270431519, 0.2264174222946167, 0.22655493021011353, 0.22765302658081055, 0.22796154022216797, 0.22941404581069946, 0.2324354648590088, 0.23440629243850708, 0.23539769649505615, 0.23645257949829102]"
 
file: ,ProgramData/104/1380.txt
ids: ,"['ProgramData/104/945.txt', 'ProgramData/104/200.txt', 'ProgramData/104/124.txt', 'ProgramData/104/48.txt', 'ProgramData/104/1176.txt', 'ProgramData/76/608.txt', 'ProgramData/76/654.txt', 'ProgramData/104/602.txt', 'ProgramData/104/751.txt', 'ProgramData/64/1720.txt']"
distances: ,"[0.20516812801361084, 0.20547819137573242, 0.22084927558898926, 0.22205567359924316, 0.22607463598251343, 0.22639620304107666, 0.22684717178344727, 0.22892194986343384, 0.2289683222770691, 0.22980386018753052]"
 
file: ,ProgramData/104/976.txt
ids: ,"['ProgramData/76/57.txt', 'ProgramData/35/392.txt', 'ProgramData/22/153.txt', 'ProgramData/22/215.txt', 'ProgramData/22/605.txt', 'ProgramData/63/1376.txt', 'ProgramData/22/57.txt', 'ProgramData/84/3190.txt', 'ProgramData/35/2266.txt', 'ProgramData/35/1887.txt']"
distances: ,"[0.27370524406433105, 0.27461445331573486, 0.2814851999282837, 0.28986304998397827, 0.2915002107620239, 0.29599910974502563, 0.2975301742553711, 0.2978906035423279, 0.30154216289520264, 0.3017117381095886]"
 
file: ,ProgramData/104/141.txt
ids: ,"['ProgramData/65/740.txt', 'ProgramData/94/2785.txt', 'ProgramData/94/1701.txt', 'ProgramData/13/1629.txt', 'ProgramData/13/1100.txt', 'ProgramData/94/1322.txt', 'ProgramData/89/486.txt', 'ProgramData/76/1725.txt', 'ProgramData/13/1569.txt', 'ProgramData/94/2686.txt']"
distances: ,"[0.1422625184059143, 0.14583706855773926, 0.1460534930229187, 0.1525259017944336, 0.1568913459777832, 0.15883022546768188, 0.1595172882080078, 0.16056084632873535, 0.1612878441810608, 0.16215085983276367]"
 
file: ,ProgramData/104/1600.txt
ids: ,"['ProgramData/7/899.txt', 'ProgramData/45/2509.txt', 'ProgramData/36/1384.txt', 'ProgramData/57/1440.txt', 'ProgramData/19/48.txt', 'ProgramData/45/1600.txt', 'ProgramData/49/1318.txt', 'ProgramData/45/2324.txt', 'ProgramData/45/1940.txt', 'ProgramData/45/1817.txt']"
distances: ,"[0.17209935188293457, 0.1733272671699524, 0.17346006631851196, 0.18025261163711548, 0.18086659908294678, 0.1837928295135498, 0.192249596118927, 0.1978849172592163, 0.19813328981399536, 0.20255059003829956]"
 
file: ,ProgramData/104/544.txt
ids: ,"['ProgramData/15/1584.txt', 'ProgramData/92/699.txt', 'ProgramData/15/1308.txt', 'ProgramData/89/455.txt', 'ProgramData/89/1543.txt', 'ProgramData/102/146.txt', 'ProgramData/104/545.txt', 'ProgramData/74/416.txt', 'ProgramData/15/1330.txt', 'ProgramData/61/608.txt']"
distances: ,"[0.17471003532409668, 0.1761210560798645, 0.1798163652420044, 0.18114393949508667, 0.18257206678390503, 0.18349647521972656, 0.1846151351928711, 0.18490463495254517, 0.18538033962249756, 0.18593978881835938]"
 
file: ,ProgramData/68/816.txt
