 
file: ,ProgramData/61/1008.txt
ids: ,"['ProgramData/35/2413.txt', 'ProgramData/94/1449.txt', 'ProgramData/76/1417.txt', 'ProgramData/100/1711.txt', 'ProgramData/63/544.txt', 'ProgramData/67/140.txt', 'ProgramData/33/1521.txt', 'ProgramData/18/509.txt', 'ProgramData/87/311.txt', 'ProgramData/99/1107.txt']"
distances: ,"[0.16822683811187744, 0.17995178699493408, 0.18675142526626587, 0.18676191568374634, 0.18941497802734375, 0.18961572647094727, 0.190565824508667, 0.19078046083450317, 0.19105219841003418, 0.19109636545181274]"
 
file: ,ProgramData/61/542.txt
ids: ,"['ProgramData/34/2970.txt', 'ProgramData/44/262.txt', 'ProgramData/46/2427.txt', 'ProgramData/4/530.txt', 'ProgramData/94/993.txt', 'ProgramData/26/71.txt', 'ProgramData/59/2050.txt', 'ProgramData/4/793.txt', 'ProgramData/17/141.txt', 'ProgramData/56/2518.txt']"
distances: ,"[0.5883506536483765, 0.5909795761108398, 0.5941224098205566, 0.6033021807670593, 0.6040366888046265, 0.6078259348869324, 0.6112462282180786, 0.6115580797195435, 0.6120694279670715, 0.6128138303756714]"
 
file: ,ProgramData/95/1144.txt
ids: ,"['ProgramData/78/1431.txt', 'ProgramData/15/301.txt', 'ProgramData/22/605.txt', 'ProgramData/2/413.txt', 'ProgramData/47/5663.txt', 'ProgramData/27/868.txt', 'ProgramData/69/1360.txt', 'ProgramData/67/1654.txt', 'ProgramData/85/2065.txt', 'ProgramData/69/654.txt']"
distances: ,"[0.08058428764343262, 0.09594488143920898, 0.10247480869293213, 0.10647058486938477, 0.18024617433547974, 0.4406036138534546, 0.44405168294906616, 0.44547051191329956, 0.44570523500442505, 0.44664466381073]"
 
file: ,ProgramData/59/1576.txt
ids: ,"['ProgramData/35/2242.txt', 'ProgramData/27/2158.txt', 'ProgramData/83/1317.txt', 'ProgramData/28/1095.txt', 'ProgramData/66/199.txt', 'ProgramData/35/780.txt', 'ProgramData/32/495.txt', 'ProgramData/102/1308.txt', 'ProgramData/104/205.txt', 'ProgramData/63/1386.txt']"
distances: ,"[0.3060200810432434, 0.30955076217651367, 0.3145434260368347, 0.3155517578125, 0.316476047039032, 0.31736958026885986, 0.31922876834869385, 0.3196852207183838, 0.32078367471694946, 0.3223913908004761]"
 
file: ,ProgramData/92/1508.txt
ids: ,"['ProgramData/51/903.txt', 'ProgramData/104/1265.txt', 'ProgramData/92/168.txt', 'ProgramData/100/2414.txt', 'ProgramData/92/1111.txt', 'ProgramData/38/345.txt', 'ProgramData/43/644.txt', 'ProgramData/38/1671.txt', 'ProgramData/15/149.txt', 'ProgramData/92/1212.txt']"
distances: ,"[0.14822709560394287, 0.15001577138900757, 0.15027719736099243, 0.15087652206420898, 0.15089398622512817, 0.15179020166397095, 0.15181279182434082, 0.1529407501220703, 0.15315347909927368, 0.153428316116333]"
 
file: ,ProgramData/66/152.txt
ids: ,"['ProgramData/72/2542.txt', 'ProgramData/19/104.txt', 'ProgramData/48/1530.txt', 'ProgramData/2/328.txt', 'ProgramData/22/18.txt', 'ProgramData/19/756.txt', 'ProgramData/103/205.txt', 'ProgramData/62/1475.txt', 'ProgramData/9/1544.txt', 'ProgramData/20/1264.txt']"
distances: ,"[0.14994359016418457, 0.1554139256477356, 0.16672557592391968, 0.16760724782943726, 0.1711694598197937, 0.1731204390525818, 0.17515289783477783, 0.17638152837753296, 0.1766350269317627, 0.17983192205429077]"
 
file: ,ProgramData/104/595.txt
ids: ,"['ProgramData/52/1823.txt', 'ProgramData/52/4140.txt', 'ProgramData/104/199.txt', 'ProgramData/102/1353.txt', 'ProgramData/68/316.txt', 'ProgramData/60/41.txt', 'ProgramData/38/1423.txt', 'ProgramData/81/1046.txt', 'ProgramData/60/419.txt', 'ProgramData/68/651.txt']"
distances: ,"[0.386867880821228, 0.38781386613845825, 0.38988327980041504, 0.39147305488586426, 0.39196163415908813, 0.39541304111480713, 0.3956499695777893, 0.39567023515701294, 0.3961307406425476, 0.39702093601226807]"
 
file: ,ProgramData/50/1240.txt
ids: ,"['ProgramData/6/1220.txt', 'ProgramData/75/82.txt', 'ProgramData/25/366.txt', 'ProgramData/10/1723.txt', 'ProgramData/51/596.txt', 'ProgramData/42/1613.txt', 'ProgramData/103/472.txt', 'ProgramData/13/984.txt', 'ProgramData/100/2050.txt', 'ProgramData/16/1375.txt']"
distances: ,"[0.04225379228591919, 0.15948700904846191, 0.15988987684249878, 0.16105228662490845, 0.16226917505264282, 0.16259747743606567, 0.1630125641822815, 0.16346102952957153, 0.1643884778022766, 0.16530656814575195]"
 
file: ,ProgramData/50/2359.txt
ids: ,"['ProgramData/94/11.txt', 'ProgramData/96/913.txt', 'ProgramData/75/70.txt', 'ProgramData/55/1287.txt', 'ProgramData/90/832.txt', 'ProgramData/66/1052.txt', 'ProgramData/52/5419.txt', 'ProgramData/2/933.txt', 'ProgramData/21/1928.txt', 'ProgramData/55/1146.txt']"
distances: ,"[0.40757739543914795, 0.4078565239906311, 0.4115387201309204, 0.412527859210968, 0.4126594662666321, 0.4127271771430969, 0.41274744272232056, 0.4127744436264038, 0.41282427310943604, 0.41403108835220337]"
 
file: ,ProgramData/50/2700.txt
ids: ,"['ProgramData/22/605.txt', 'ProgramData/2/413.txt', 'ProgramData/15/301.txt', 'ProgramData/78/1431.txt', 'ProgramData/47/5663.txt', 'ProgramData/7/1103.txt', 'ProgramData/5/898.txt', 'ProgramData/19/740.txt', 'ProgramData/66/1626.txt', 'ProgramData/73/1575.txt']"
distances: ,"[0.045320212841033936, 0.06088072061538696, 0.07752519845962524, 0.11932742595672607, 0.21292996406555176, 0.35311800241470337, 0.35557252168655396, 0.35641223192214966, 0.35646170377731323, 0.35714155435562134]"
 
file: ,ProgramData/68/39.txt
ids: ,"['ProgramData/12/47.txt', 'ProgramData/27/1774.txt', 'ProgramData/64/3031.txt', 'ProgramData/39/1744.txt', 'ProgramData/76/70.txt', 'ProgramData/84/1848.txt', 'ProgramData/27/1952.txt', 'ProgramData/79/2197.txt', 'ProgramData/46/2242.txt', 'ProgramData/84/3514.txt']"
