file: ,POJ/95/1012.txt
results: ,"[{'id': 'POJ/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,POJ/59/1682.txt
results: ,"[{'id': 'POJ/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/2932.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/3195.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1326.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/59/1040.txt
results: ,"[{'id': 'POJ/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/2932.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/3195.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'POJ/64/1326.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,POJ/59/1146.txt
results: ,"[{'id': 'POJ/64/3184.txt', 'distance': 1.0, 'entity': {}}, {'id': 'POJ/39/2024.txt', 'distance': 1.0, 'entity': {}}, {'id': 'POJ/18/933.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'POJ/59/1146.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'POJ/98/2966.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'POJ/80/946.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'POJ/18/2008.txt', 'distance': 0.9740272760391235, 'entity': {}}, {'id': 'POJ/27/2098.txt', 'distance': 0.9740272760391235, 'entity': {}}, {'id': 'POJ/32/1124.txt', 'distance': 0.9740272760391235, 'entity': {}}, {'id': 'POJ/69/931.txt', 'distance': 0.9740272760391235, 'entity': {}}]"
 
file: ,POJ/59/798.txt
results: ,"[{'id': 'POJ/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'POJ/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'POJ/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,POJ/59/1956.txt
results: ,"[{'id': 'POJ/48/1424.txt', 'distance': 0.6676263809204102, 'entity': {}}, {'id': 'POJ/64/2370.txt', 'distance': 0.6593635082244873, 'entity': {}}, {'id': 'POJ/48/802.txt', 'distance': 0.655383825302124, 'entity': {}}, {'id': 'POJ/48/194.txt', 'distance': 0.6546259522438049, 'entity': {}}, {'id': 'POJ/81/1397.txt', 'distance': 0.6331987380981445, 'entity': {}}, {'id': 'POJ/72/3022.txt', 'distance': 0.6317111849784851, 'entity': {}}, {'id': 'POJ/72/1438.txt', 'distance': 0.6284135580062866, 'entity': {}}, {'id': 'POJ/81/1396.txt', 'distance': 0.6271659731864929, 'entity': {}}, {'id': 'POJ/81/453.txt', 'distance': 0.6260384321212769, 'entity': {}}, {'id': 'POJ/48/993.txt', 'distance': 0.6170783042907715, 'entity': {}}]"
 
file: ,POJ/59/635.txt
