 
file: ,POJ/61/1338.txt
results: ,"[{'id': 'POJ/25/547.txt', 'distance': 0.8185549378395081, 'entity': {}}, {'id': 'POJ/98/757.txt', 'distance': 0.8121374845504761, 'entity': {}}, {'id': 'POJ/64/2741.txt', 'distance': 0.769188642501831, 'entity': {}}, {'id': 'POJ/77/610.txt', 'distance': 0.7620773911476135, 'entity': {}}, {'id': 'POJ/96/275.txt', 'distance': 0.7608012557029724, 'entity': {}}, {'id': 'POJ/54/1094.txt', 'distance': 0.7535520195960999, 'entity': {}}, {'id': 'POJ/48/152.txt', 'distance': 0.7499792575836182, 'entity': {}}, {'id': 'POJ/46/1887.txt', 'distance': 0.7477685213088989, 'entity': {}}, {'id': 'POJ/54/495.txt', 'distance': 0.7417996525764465, 'entity': {}}, {'id': 'POJ/42/407.txt', 'distance': 0.7398565411567688, 'entity': {}}]"
 
file: ,POJ/95/1228.txt
results: ,"[{'id': 'POJ/5/120.txt', 'distance': 0.8648666143417358, 'entity': {}}, {'id': 'POJ/12/1413.txt', 'distance': 0.8617671132087708, 'entity': {}}, {'id': 'POJ/98/1757.txt', 'distance': 0.8562929630279541, 'entity': {}}, {'id': 'POJ/70/108.txt', 'distance': 0.8535471558570862, 'entity': {}}, {'id': 'POJ/22/744.txt', 'distance': 0.8472971320152283, 'entity': {}}, {'id': 'POJ/46/3027.txt', 'distance': 0.8459722399711609, 'entity': {}}, {'id': 'POJ/2/583.txt', 'distance': 0.8427116274833679, 'entity': {}}, {'id': 'POJ/90/1535.txt', 'distance': 0.8419700860977173, 'entity': {}}, {'id': 'POJ/99/279.txt', 'distance': 0.8372047543525696, 'entity': {}}, {'id': 'POJ/98/2433.txt', 'distance': 0.8365914821624756, 'entity': {}}]"
 
file: ,POJ/59/1576.txt
results: ,"[{'id': 'POJ/2/874.txt', 'distance': 0.7434794902801514, 'entity': {}}, {'id': 'POJ/85/309.txt', 'distance': 0.7251867651939392, 'entity': {}}, {'id': 'POJ/79/3883.txt', 'distance': 0.7145759463310242, 'entity': {}}, {'id': 'POJ/8/1075.txt', 'distance': 0.7005355954170227, 'entity': {}}, {'id': 'POJ/8/1388.txt', 'distance': 0.7001166343688965, 'entity': {}}, {'id': 'POJ/44/957.txt', 'distance': 0.6932184100151062, 'entity': {}}, {'id': 'POJ/35/1486.txt', 'distance': 0.6895391345024109, 'entity': {}}, {'id': 'POJ/68/992.txt', 'distance': 0.6864902973175049, 'entity': {}}, {'id': 'POJ/74/374.txt', 'distance': 0.6857471466064453, 'entity': {}}, {'id': 'POJ/83/1317.txt', 'distance': 0.6854569911956787, 'entity': {}}]"
 
file: ,POJ/92/1508.txt
results: ,"[{'id': 'POJ/51/903.txt', 'distance': 0.8517712950706482, 'entity': {}}, {'id': 'POJ/104/1265.txt', 'distance': 0.8499837517738342, 'entity': {}}, {'id': 'POJ/92/168.txt', 'distance': 0.8497224450111389, 'entity': {}}, {'id': 'POJ/100/2414.txt', 'distance': 0.849122941493988, 'entity': {}}, {'id': 'POJ/92/1111.txt', 'distance': 0.849105954170227, 'entity': {}}, {'id': 'POJ/38/345.txt', 'distance': 0.8482095003128052, 'entity': {}}, {'id': 'POJ/43/644.txt', 'distance': 0.8481863737106323, 'entity': {}}, {'id': 'POJ/38/1671.txt', 'distance': 0.8470580577850342, 'entity': {}}, {'id': 'POJ/15/149.txt', 'distance': 0.8468466997146606, 'entity': {}}, {'id': 'POJ/92/1212.txt', 'distance': 0.8465713858604431, 'entity': {}}]"
 
file: ,POJ/92/1079.txt
