 
file: ,POJ/59/1040.txt
ids: ,"['POJ/83/4356.txt', 'POJ/64/1944.txt', 'POJ/64/1326.txt', 'POJ/92/764.txt', 'POJ/2/868.txt', 'POJ/41/982.txt', 'POJ/92/807.txt', 'POJ/80/1004.txt', 'POJ/59/1682.txt', 'POJ/46/3064.txt']"
distances: ,"[0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994]"
 
file: ,POJ/92/1156.txt
ids: ,"['POJ/83/4356.txt', 'POJ/64/1944.txt', 'POJ/64/1326.txt', 'POJ/92/764.txt', 'POJ/2/868.txt', 'POJ/41/982.txt', 'POJ/92/807.txt', 'POJ/80/1004.txt', 'POJ/59/1682.txt', 'POJ/46/3064.txt']"
distances: ,"[0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994]"
 
file: ,POJ/92/383.txt
ids: ,"['POJ/83/4356.txt', 'POJ/64/1944.txt', 'POJ/64/1326.txt', 'POJ/92/764.txt', 'POJ/2/868.txt', 'POJ/41/982.txt', 'POJ/92/807.txt', 'POJ/80/1004.txt', 'POJ/59/1682.txt', 'POJ/46/3064.txt']"
distances: ,"[0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994]"
 
file: ,POJ/92/490.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/104/607.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/69/642.txt
ids: ,"['POJ/83/4356.txt', 'POJ/64/1944.txt', 'POJ/64/1326.txt', 'POJ/92/764.txt', 'POJ/2/868.txt', 'POJ/41/982.txt', 'POJ/92/807.txt', 'POJ/80/1004.txt', 'POJ/59/1682.txt', 'POJ/46/3064.txt']"
distances: ,"[0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994]"
 
file: ,POJ/51/1002.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/51/678.txt
ids: ,"['POJ/83/4356.txt', 'POJ/64/1944.txt', 'POJ/64/1326.txt', 'POJ/92/764.txt', 'POJ/2/868.txt', 'POJ/41/982.txt', 'POJ/92/807.txt', 'POJ/80/1004.txt', 'POJ/59/1682.txt', 'POJ/46/3064.txt']"
distances: ,"[0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994, 0.9999994]"
 
file: ,POJ/18/1295.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/18/995.txt
ids: ,"['POJ/48/1012.txt', 'POJ/4/408.txt', 'POJ/15/1429.txt', 'POJ/59/208.txt', 'POJ/102/11.txt', 'POJ/48/224.txt', 'POJ/18/2003.txt', 'POJ/64/1808.txt', 'POJ/46/1579.txt', 'POJ/31/1440.txt']"
distances: ,"[1.0000002, 1.0000002, 1.0000002, 1.0000002, 1.0000002, 1.0000002, 1.0000002, 1.0000002, 1.0000002, 1.0000002]"
 
file: ,POJ/18/434.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/18/1449.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/18/1882.txt
ids: ,"['POJ/48/507.txt', 'POJ/14/992.txt', 'POJ/21/1159.txt', 'POJ/8/76.txt', 'POJ/69/1009.txt', 'POJ/64/3150.txt', 'POJ/69/1144.txt', 'POJ/92/671.txt', 'POJ/64/718.txt', 'POJ/18/1459.txt']"
distances: ,"[0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995, 0.9999995]"
 
file: ,POJ/18/24.txt
