file: ,POJ/58/406.txt
ids: ,"['POJ/13/1748.txt', 'POJ/68/718.txt', 'POJ/58/515.txt', 'POJ/34/1569.txt', 'POJ/7/156.txt', 'POJ/3/2393.txt', 'POJ/23/198.txt', 'POJ/97/2508.txt', 'POJ/13/964.txt', 'POJ/68/868.txt']"
distances: ,"[0.9148458, 0.9098232, 0.90904415, 0.9059205, 0.9057718, 0.9040149, 0.9037017, 0.90349966, 0.903485, 0.9031192]"
 
file: ,POJ/10/1947.txt
ids: ,"['POJ/84/3816.txt', 'POJ/63/898.txt', 'POJ/92/257.txt', 'POJ/1/1379.txt', 'POJ/92/1430.txt', 'POJ/92/1089.txt', 'POJ/21/1905.txt', 'POJ/78/434.txt', 'POJ/18/396.txt', 'POJ/8/1073.txt']"
distances: ,"[0.89541394, 0.7466755, 0.7208619, 0.7125003, 0.70972574, 0.7062819, 0.6959311, 0.69401157, 0.69157404, 0.6854235]"
 
file: ,POJ/44/1255.txt
ids: ,"['POJ/80/546.txt', 'POJ/73/1373.txt', 'POJ/80/1376.txt', 'POJ/27/283.txt', 'POJ/58/587.txt', 'POJ/13/1309.txt', 'POJ/41/507.txt', 'POJ/96/320.txt', 'POJ/61/542.txt', 'POJ/26/60.txt']"
distances: ,"[0.17742734, 0.16940987, 0.14522228, 0.14025551, 0.1361413, 0.13461158, 0.13456924, 0.13455084, 0.13449693, 0.1343534]"
 
file: ,POJ/31/1314.txt
ids: ,"['POJ/104/164.txt', 'POJ/24/813.txt', 'POJ/69/439.txt', 'POJ/47/4901.txt', 'POJ/17/845.txt', 'POJ/60/1881.txt', 'POJ/89/1313.txt', 'POJ/46/2586.txt', 'POJ/91/199.txt', 'POJ/85/1280.txt']"
distances: ,"[0.6188392, 0.60391766, 0.59541917, 0.59363395, 0.5904473, 0.58820075, 0.5851416, 0.5840337, 0.58292115, 0.5810534]"
 
file: ,POJ/23/611.txt
ids: ,"['POJ/10/1079.txt', 'POJ/19/3182.txt', 'POJ/63/1955.txt', 'POJ/103/1063.txt', 'POJ/9/836.txt', 'POJ/62/2628.txt', 'POJ/85/1944.txt', 'POJ/88/68.txt', 'POJ/84/602.txt', 'POJ/82/293.txt']"
distances: ,"[0.9182034, 0.9134624, 0.9117709, 0.90976244, 0.9094939, 0.90913594, 0.9059517, 0.90560585, 0.904229, 0.90371346]"
 
file: ,POJ/85/309.txt
ids: ,"['POJ/2/874.txt', 'POJ/104/1181.txt', 'POJ/59/1576.txt', 'POJ/46/2457.txt', 'POJ/44/27.txt', 'POJ/75/265.txt', 'POJ/32/1560.txt', 'POJ/68/581.txt', 'POJ/100/1696.txt', 'POJ/56/222.txt']"
distances: ,"[0.7539277, 0.7418577, 0.7251866, 0.6946583, 0.6609999, 0.65072566, 0.6505392, 0.6489497, 0.64694655, 0.64522713]"
 
file: ,POJ/71/1498.txt
ids: ,"['POJ/83/4726.txt', 'POJ/17/1173.txt', 'POJ/66/1626.txt', 'POJ/46/392.txt', 'POJ/27/869.txt', 'POJ/35/1127.txt', 'POJ/102/313.txt', 'POJ/60/1336.txt', 'POJ/32/121.txt', 'POJ/11/226.txt']"
distances: ,"[0.9137397, 0.90511763, 0.9042622, 0.90331143, 0.9012231, 0.89928555, 0.8973714, 0.8876589, 0.88753647, 0.8860128]"
 
file: ,POJ/5/680.txt
ids: ,"['POJ/86/412.txt', 'POJ/5/1006.txt', 'POJ/71/1939.txt', 'POJ/73/92.txt', 'POJ/87/186.txt', 'POJ/102/313.txt', 'POJ/87/647.txt', 'POJ/24/839.txt', 'POJ/96/820.txt', 'POJ/48/1564.txt']"
distances: ,"[0.9318346, 0.9161619, 0.9156699, 0.9133513, 0.9130148, 0.9127152, 0.9126892, 0.9114214, 0.9104807, 0.9071624]"
 
file: ,POJ/22/605.txt
ids: ,"['POJ/80/1159.txt', 'POJ/35/886.txt', 'POJ/50/2700.txt', 'POJ/53/446.txt', 'POJ/53/432.txt', 'POJ/6/3825.txt', 'POJ/2/413.txt', 'POJ/43/45.txt', 'POJ/15/1284.txt', 'POJ/63/1838.txt']"
distances: ,"[0.9603533, 0.9547967, 0.95467937, 0.9543073, 0.95026183, 0.9454997, 0.938889, 0.9385351, 0.9361929, 0.92753637]"
misses:
9
