 
file: ,ProgramData/59/1682.txt
ids: ,"['ProgramData/25/974.txt', 'ProgramData/2/868.txt', 'ProgramData/92/807.txt', 'ProgramData/64/3195.txt', 'ProgramData/92/1156.txt', 'ProgramData/83/4356.txt', 'ProgramData/64/1326.txt', 'ProgramData/71/1197.txt', 'ProgramData/92/383.txt', 'ProgramData/59/1040.txt']"
distances: ,"[0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]"
 
file: ,ProgramData/59/207.txt
ids: ,"['ProgramData/15/318.txt', 'ProgramData/15/2348.txt', 'ProgramData/15/182.txt', 'ProgramData/15/1402.txt', 'ProgramData/46/1832.txt', 'ProgramData/15/2266.txt', 'ProgramData/15/761.txt', 'ProgramData/15/285.txt', 'ProgramData/15/288.txt', 'ProgramData/15/2166.txt']"
distances: ,"[0.863644003868103, 0.8573783040046692, 0.8531807661056519, 0.8507971167564392, 0.8488714694976807, 0.8488056659698486, 0.8485760688781738, 0.848344624042511, 0.8478425741195679, 0.8475212454795837]"
 
file: ,ProgramData/92/671.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/92/764.txt
ids: ,"['ProgramData/25/974.txt', 'ProgramData/2/868.txt', 'ProgramData/92/807.txt', 'ProgramData/64/3195.txt', 'ProgramData/92/1156.txt', 'ProgramData/83/4356.txt', 'ProgramData/64/1326.txt', 'ProgramData/71/1197.txt', 'ProgramData/92/383.txt', 'ProgramData/59/1040.txt']"
distances: ,"[0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]"
 
file: ,ProgramData/92/247.txt
ids: ,"['ProgramData/39/1240.txt', 'ProgramData/77/599.txt', 'ProgramData/78/1737.txt', 'ProgramData/18/2026.txt', 'ProgramData/78/18.txt', 'ProgramData/103/768.txt', 'ProgramData/17/650.txt', 'ProgramData/78/1643.txt', 'ProgramData/17/727.txt', 'ProgramData/17/750.txt']"
distances: ,"[0.8895464539527893, 0.8299551010131836, 0.8057421445846558, 0.802180290222168, 0.7964526414871216, 0.7856446504592896, 0.7826154232025146, 0.7767707705497742, 0.7750027179718018, 0.7686817646026611]"
 
file: ,ProgramData/104/1478.txt
ids: ,"['ProgramData/36/879.txt', 'ProgramData/95/475.txt', 'ProgramData/95/1279.txt', 'ProgramData/95/331.txt', 'ProgramData/95/1394.txt', 'ProgramData/95/1332.txt', 'ProgramData/103/696.txt', 'ProgramData/95/892.txt', 'ProgramData/95/1229.txt', 'ProgramData/36/1469.txt']"
distances: ,"[0.8257365822792053, 0.8159654140472412, 0.8121178150177002, 0.8112775087356567, 0.8112481236457825, 0.80972820520401, 0.8084317445755005, 0.8082626461982727, 0.8075928688049316, 0.8073166608810425]"
 
file: ,ProgramData/104/607.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/68/424.txt
ids: ,"['ProgramData/71/705.txt', 'ProgramData/71/892.txt', 'ProgramData/71/629.txt', 'ProgramData/71/60.txt', 'ProgramData/71/670.txt', 'ProgramData/71/572.txt', 'ProgramData/71/1498.txt', 'ProgramData/71/714.txt', 'ProgramData/71/616.txt', 'ProgramData/71/676.txt']"
distances: ,"[0.8878631591796875, 0.8815277218818665, 0.8801983594894409, 0.8796725273132324, 0.8786568641662598, 0.8786414861679077, 0.8768428564071655, 0.8762734532356262, 0.8753688335418701, 0.8748063445091248]"
 
file: ,ProgramData/69/1144.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/69/1009.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/69/642.txt
ids: ,"['ProgramData/25/974.txt', 'ProgramData/2/868.txt', 'ProgramData/92/807.txt', 'ProgramData/64/3195.txt', 'ProgramData/92/1156.txt', 'ProgramData/83/4356.txt', 'ProgramData/64/1326.txt', 'ProgramData/71/1197.txt', 'ProgramData/92/383.txt', 'ProgramData/59/1040.txt']"
distances: ,"[0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]"
 
file: ,ProgramData/51/678.txt
ids: ,"['ProgramData/25/974.txt', 'ProgramData/2/868.txt', 'ProgramData/92/807.txt', 'ProgramData/64/3195.txt', 'ProgramData/92/1156.txt', 'ProgramData/83/4356.txt', 'ProgramData/64/1326.txt', 'ProgramData/71/1197.txt', 'ProgramData/92/383.txt', 'ProgramData/59/1040.txt']"
distances: ,"[0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]"
 
file: ,ProgramData/93/1594.txt
ids: ,"['ProgramData/84/2253.txt', 'ProgramData/84/1049.txt', 'ProgramData/84/3063.txt', 'ProgramData/84/2557.txt', 'ProgramData/84/4126.txt', 'ProgramData/21/40.txt', 'ProgramData/84/147.txt', 'ProgramData/84/1485.txt', 'ProgramData/84/2686.txt', 'ProgramData/22/491.txt']"
distances: ,"[0.9014846086502075, 0.8986810445785522, 0.8942112922668457, 0.8934396505355835, 0.8922783136367798, 0.8911176919937134, 0.8882070779800415, 0.8880115747451782, 0.88786381483078, 0.8854153752326965]"
 
file: ,ProgramData/18/434.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/18/1449.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/18/1882.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/18/24.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/73/962.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/80/1004.txt
ids: ,"['ProgramData/25/974.txt', 'ProgramData/2/868.txt', 'ProgramData/92/807.txt', 'ProgramData/64/3195.txt', 'ProgramData/92/1156.txt', 'ProgramData/83/4356.txt', 'ProgramData/64/1326.txt', 'ProgramData/71/1197.txt', 'ProgramData/92/383.txt', 'ProgramData/59/1040.txt']"
distances: ,"[0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]"
 
file: ,ProgramData/17/68.txt
ids: ,"['ProgramData/23/1105.txt', 'ProgramData/23/140.txt', 'ProgramData/62/2785.txt', 'ProgramData/77/1610.txt', 'ProgramData/26/1018.txt', 'ProgramData/19/757.txt', 'ProgramData/24/1586.txt', 'ProgramData/23/1079.txt', 'ProgramData/77/1481.txt', 'ProgramData/23/862.txt']"
distances: ,"[0.8862766623497009, 0.8640693426132202, 0.8597261309623718, 0.8595865368843079, 0.8594263195991516, 0.8577104210853577, 0.856970489025116, 0.8557993173599243, 0.8545805215835571, 0.853570818901062]"
 
file: ,ProgramData/19/1027.txt
ids: ,"['ProgramData/8/76.txt', 'ProgramData/39/1852.txt', 'ProgramData/21/1037.txt', 'ProgramData/83/2075.txt', 'ProgramData/92/490.txt', 'ProgramData/72/2265.txt', 'ProgramData/18/1459.txt', 'ProgramData/51/1002.txt', 'ProgramData/64/1261.txt', 'ProgramData/18/1295.txt']"
distances: ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
 
file: ,ProgramData/19/3074.txt
ids: ,"['ProgramData/25/974.txt', 'ProgramData/2/868.txt', 'ProgramData/92/807.txt', 'ProgramData/64/3195.txt', 'ProgramData/92/1156.txt', 'ProgramData/83/4356.txt', 'ProgramData/64/1326.txt', 'ProgramData/71/1197.txt', 'ProgramData/92/383.txt', 'ProgramData/59/1040.txt']"
distances: ,"[0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]"
 
file: ,ProgramData/8/992.txt
