hits,misses,times not returing itself
326348,139420,205
 
file: ,ProgramData/61/266.txt
ids: ,"['ProgramData/84/3866.txt', 'ProgramData/84/3413.txt', 'ProgramData/84/3517.txt', 'ProgramData/84/2688.txt', 'ProgramData/10/1168.txt']"
distances: ,"[0.22267836332321167, 0.22844332456588745, 0.2326682209968567, 0.23564821481704712, 0.23580825328826904]"
 
file: ,ProgramData/61/656.txt
ids: ,"['ProgramData/38/375.txt', 'ProgramData/38/1632.txt', 'ProgramData/44/1330.txt', 'ProgramData/74/892.txt', 'ProgramData/38/1065.txt']"
distances: ,"[0.21231180429458618, 0.219440758228302, 0.22810709476470947, 0.23117059469223022, 0.23197567462921143]"
 
file: ,ProgramData/59/673.txt
ids: ,"['ProgramData/62/2370.txt', 'ProgramData/23/599.txt', 'ProgramData/37/340.txt', 'ProgramData/85/1912.txt', 'ProgramData/75/1008.txt']"
distances: ,"[0.20133280754089355, 0.20347630977630615, 0.2069462537765503, 0.21013516187667847, 0.21053403615951538]"
 
file: ,ProgramData/59/25.txt
ids: ,"['ProgramData/37/482.txt', 'ProgramData/37/1150.txt', 'ProgramData/98/2397.txt', 'ProgramData/37/1009.txt', 'ProgramData/37/1049.txt']"
distances: ,"[0.20224016904830933, 0.21285170316696167, 0.21932709217071533, 0.22088050842285156, 0.22169417142868042]"
 
file: ,ProgramData/92/1084.txt
ids: ,"['ProgramData/75/640.txt', 'ProgramData/9/603.txt', 'ProgramData/75/468.txt', 'ProgramData/22/222.txt', 'ProgramData/89/422.txt']"
distances: ,"[0.26359307765960693, 0.2717363238334656, 0.2727615237236023, 0.27638208866119385, 0.2770753502845764]"
 
file: ,ProgramData/92/909.txt
ids: ,"['ProgramData/8/981.txt', 'ProgramData/42/1504.txt', 'ProgramData/52/5614.txt', 'ProgramData/52/3884.txt', 'ProgramData/42/568.txt']"
distances: ,"[0.16407501697540283, 0.1642897129058838, 0.16785168647766113, 0.16974222660064697, 0.17203456163406372]"
 
file: ,ProgramData/66/273.txt
ids: ,"['ProgramData/57/3188.txt', 'ProgramData/49/1194.txt', 'ProgramData/57/3332.txt', 'ProgramData/57/690.txt', 'ProgramData/57/1289.txt']"
distances: ,"[0.2015753984451294, 0.20821517705917358, 0.2205578088760376, 0.22312545776367188, 0.2277451753616333]"
 
file: ,ProgramData/66/1501.txt
ids: ,"['ProgramData/2/406.txt', 'ProgramData/2/230.txt', 'ProgramData/58/274.txt', 'ProgramData/2/778.txt', 'ProgramData/2/588.txt']"
distances: ,"[0.11992228031158447, 0.1263899803161621, 0.12659096717834473, 0.13023114204406738, 0.13241231441497803]"
 
file: ,ProgramData/104/1323.txt
ids: ,"['ProgramData/67/2265.txt', 'ProgramData/27/2222.txt', 'ProgramData/67/2548.txt', 'ProgramData/64/1299.txt', 'ProgramData/83/4536.txt']"
distances: ,"[0.4207174777984619, 0.4310879707336426, 0.44156843423843384, 0.4600185751914978, 0.46540021896362305]"
 
file: ,ProgramData/104/1625.txt
ids: ,"['ProgramData/42/726.txt', 'ProgramData/42/757.txt', 'ProgramData/94/632.txt', 'ProgramData/53/821.txt', 'ProgramData/4/2046.txt']"
distances: ,"[0.21543008089065552, 0.22641503810882568, 0.22655117511749268, 0.22765004634857178, 0.22795891761779785]"
 
file: ,ProgramData/104/976.txt
ids: ,"['ProgramData/76/57.txt', 'ProgramData/35/392.txt', 'ProgramData/22/153.txt', 'ProgramData/22/215.txt', 'ProgramData/22/605.txt']"
distances: ,"[0.27370715141296387, 0.2746175527572632, 0.2814863920211792, 0.2898615598678589, 0.2915027141571045]"
 
file: ,ProgramData/104/141.txt
ids: ,"['ProgramData/65/740.txt', 'ProgramData/94/2785.txt', 'ProgramData/94/1701.txt', 'ProgramData/13/1629.txt', 'ProgramData/13/1100.txt']"
distances: ,"[0.14226162433624268, 0.14583653211593628, 0.14605176448822021, 0.15252584218978882, 0.15689104795455933]"
 
file: ,ProgramData/104/1600.txt
ids: ,"['ProgramData/7/899.txt', 'ProgramData/45/2509.txt', 'ProgramData/36/1384.txt', 'ProgramData/57/1440.txt', 'ProgramData/19/48.txt']"
distances: ,"[0.17209720611572266, 0.1733264923095703, 0.17346036434173584, 0.18025165796279907, 0.18086522817611694]"
 
file: ,ProgramData/104/544.txt
ids: ,"['ProgramData/15/1584.txt', 'ProgramData/92/699.txt', 'ProgramData/15/1308.txt', 'ProgramData/89/455.txt', 'ProgramData/89/1543.txt']"
distances: ,"[0.17470782995224, 0.17611968517303467, 0.179815411567688, 0.18114715814590454, 0.18257075548171997]"
 
file: ,ProgramData/104/537.txt
ids: ,"['ProgramData/8/509.txt', 'ProgramData/8/36.txt', 'ProgramData/63/573.txt', 'ProgramData/8/573.txt', 'ProgramData/8/1008.txt']"
distances: ,"[0.15404391288757324, 0.15830081701278687, 0.15844017267227173, 0.1599852442741394, 0.1604682207107544]"
 
file: ,ProgramData/104/534.txt
ids: ,"['ProgramData/15/569.txt', 'ProgramData/81/1495.txt', 'ProgramData/81/1656.txt', 'ProgramData/81/1506.txt', 'ProgramData/81/376.txt']"
distances: ,"[0.2424723505973816, 0.24831390380859375, 0.2507650852203369, 0.25246042013168335, 0.253271222114563]"
 
file: ,ProgramData/50/205.txt
ids: ,"['ProgramData/53/1543.txt', 'ProgramData/53/909.txt', 'ProgramData/61/1139.txt', 'ProgramData/53/206.txt', 'ProgramData/10/1153.txt']"
distances: ,"[0.1423373818397522, 0.1462695598602295, 0.15128087997436523, 0.15280258655548096, 0.15391016006469727]"
 
file: ,ProgramData/103/1231.txt
ids: ,"['ProgramData/33/2443.txt', 'ProgramData/33/2706.txt', 'ProgramData/33/3366.txt', 'ProgramData/33/76.txt', 'ProgramData/33/992.txt']"
distances: ,"[0.1703217625617981, 0.17488735914230347, 0.17664802074432373, 0.17665374279022217, 0.1774730086326599]"
 
file: ,ProgramData/103/198.txt
ids: ,"['ProgramData/100/2350.txt', 'ProgramData/100/1687.txt', 'ProgramData/36/214.txt', 'ProgramData/100/2368.txt', 'ProgramData/100/1818.txt']"
distances: ,"[0.05329233407974243, 0.0766034722328186, 0.07762885093688965, 0.09408867359161377, 0.1074448823928833]"
 
file: ,ProgramData/103/319.txt
