 
file: ,ProgramData/59/207.txt
ids: ,"['ProgramData/15/318.txt', 'ProgramData/15/2348.txt', 'ProgramData/15/182.txt', 'ProgramData/15/1402.txt', 'ProgramData/46/1832.txt', 'ProgramData/15/2266.txt', 'ProgramData/15/761.txt', 'ProgramData/15/285.txt', 'ProgramData/15/288.txt', 'ProgramData/15/2166.txt', 'ProgramData/15/1644.txt', 'ProgramData/15/659.txt', 'ProgramData/59/493.txt', 'ProgramData/15/2053.txt', 'ProgramData/15/1463.txt']"
distances: ,"[0.27271151542663574, 0.28524309396743774, 0.2936384677886963, 0.29840582609176636, 0.3022572994232178, 0.30238837003707886, 0.3028477430343628, 0.3033103346824646, 0.3043149709701538, 0.30495762825012207, 0.305048406124115, 0.30524224042892456, 0.3085799813270569, 0.30859166383743286, 0.30965542793273926]"
 
file: ,ProgramData/92/699.txt
ids: ,"['ProgramData/39/224.txt', 'ProgramData/41/1081.txt', 'ProgramData/48/206.txt', 'ProgramData/7/271.txt', 'ProgramData/7/935.txt', 'ProgramData/19/453.txt', 'ProgramData/7/862.txt', 'ProgramData/7/985.txt', 'ProgramData/37/1616.txt', 'ProgramData/19/2087.txt', 'ProgramData/19/472.txt', 'ProgramData/19/727.txt', 'ProgramData/7/1128.txt', 'ProgramData/19/62.txt', 'ProgramData/19/115.txt']"
distances: ,"[0.0, 0.0, 0.0, 0.7485039234161377, 0.7576068043708801, 0.7576502561569214, 0.7614007592201233, 0.7625314593315125, 0.7648327350616455, 0.7695285677909851, 0.7698149681091309, 0.7750871777534485, 0.775740385055542, 0.7780405282974243, 0.7780983448028564]"
 
file: ,ProgramData/92/134.txt
ids: ,"['ProgramData/39/224.txt', 'ProgramData/41/1081.txt', 'ProgramData/48/206.txt', 'ProgramData/7/271.txt', 'ProgramData/7/935.txt', 'ProgramData/19/453.txt', 'ProgramData/7/862.txt', 'ProgramData/7/985.txt', 'ProgramData/37/1616.txt', 'ProgramData/19/2087.txt', 'ProgramData/19/472.txt', 'ProgramData/19/727.txt', 'ProgramData/7/1128.txt', 'ProgramData/19/62.txt', 'ProgramData/19/115.txt']"
distances: ,"[0.0, 0.0, 0.0, 0.7485039234161377, 0.7576068043708801, 0.7576502561569214, 0.7614007592201233, 0.7625314593315125, 0.7648327350616455, 0.7695285677909851, 0.7698149681091309, 0.7750871777534485, 0.775740385055542, 0.7780405282974243, 0.7780983448028564]"
