 
file: ,ProgramData/95/739.txt
results: ,"[{'id': 'ProgramData/78/1384.txt', 'distance': 0.735770046710968, 'entity': {}}, {'id': 'ProgramData/2/1265.txt', 'distance': 0.6797494292259216, 'entity': {}}, {'id': 'ProgramData/49/26.txt', 'distance': 0.6758714914321899, 'entity': {}}, {'id': 'ProgramData/55/36.txt', 'distance': 0.6691991686820984, 'entity': {}}, {'id': 'ProgramData/85/77.txt', 'distance': 0.6656713485717773, 'entity': {}}, {'id': 'ProgramData/55/60.txt', 'distance': 0.665045976638794, 'entity': {}}, {'id': 'ProgramData/55/222.txt', 'distance': 0.6596640348434448, 'entity': {}}, {'id': 'ProgramData/7/999.txt', 'distance': 0.6587091684341431, 'entity': {}}, {'id': 'ProgramData/78/282.txt', 'distance': 0.6561404466629028, 'entity': {}}, {'id': 'ProgramData/24/182.txt', 'distance': 0.656049907207489, 'entity': {}}]"
 
file: ,ProgramData/95/1012.txt
results: ,"[{'id': 'ProgramData/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,ProgramData/59/1682.txt
results: ,"[{'id': 'ProgramData/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/51/678.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/69/642.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/19/3074.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,ProgramData/59/1040.txt
results: ,"[{'id': 'ProgramData/2/842.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/2/868.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/51/678.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/69/642.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/19/3074.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/71/1197.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/83/4356.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/41/982.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/46/3064.txt', 'distance': 0.9999997019767761, 'entity': {}}, {'id': 'ProgramData/64/1944.txt', 'distance': 0.9999997019767761, 'entity': {}}]"
 
file: ,ProgramData/59/1146.txt
results: ,"[{'id': 'ProgramData/64/3184.txt', 'distance': 1.0, 'entity': {}}, {'id': 'ProgramData/39/2024.txt', 'distance': 1.0, 'entity': {}}, {'id': 'ProgramData/18/933.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'ProgramData/98/2966.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'ProgramData/80/946.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'ProgramData/59/1146.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'ProgramData/69/931.txt', 'distance': 0.9740272760391235, 'entity': {}}, {'id': 'ProgramData/27/2098.txt', 'distance': 0.9740272760391235, 'entity': {}}, {'id': 'ProgramData/32/1124.txt', 'distance': 0.9740272760391235, 'entity': {}}, {'id': 'ProgramData/18/2008.txt', 'distance': 0.9740272760391235, 'entity': {}}]"
 
file: ,ProgramData/59/798.txt
results: ,"[{'id': 'ProgramData/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,ProgramData/59/635.txt
results: ,"[{'id': 'ProgramData/48/149.txt', 'distance': 1.000000238418579, 'entity': {}}, {'id': 'ProgramData/48/1057.txt', 'distance': 1.000000238418579, 'entity': {}}, {'id': 'ProgramData/59/635.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'ProgramData/18/956.txt', 'distance': 0.9999998807907104, 'entity': {}}, {'id': 'ProgramData/96/803.txt', 'distance': 0.983955979347229, 'entity': {}}, {'id': 'ProgramData/42/193.txt', 'distance': 0.983955979347229, 'entity': {}}, {'id': 'ProgramData/19/2385.txt', 'distance': 0.983955979347229, 'entity': {}}, {'id': 'ProgramData/83/1027.txt', 'distance': 0.9839556217193604, 'entity': {}}, {'id': 'ProgramData/41/1204.txt', 'distance': 0.9839556217193604, 'entity': {}}, {'id': 'ProgramData/92/1411.txt', 'distance': 0.9774169921875, 'entity': {}}]"
 
file: ,ProgramData/59/735.txt
results: ,"[{'id': 'ProgramData/71/2170.txt', 'distance': 1.0000007152557373, 'entity': {}}, {'id': 'ProgramData/64/1228.txt', 'distance': 1.0000007152557373, 'entity': {}}, {'id': 'ProgramData/97/833.txt', 'distance': 1.0000007152557373, 'entity': {}}, {'id': 'ProgramData/2/389.txt', 'distance': 1.0000005960464478, 'entity': {}}, {'id': 'ProgramData/59/735.txt', 'distance': 1.0000003576278687, 'entity': {}}, {'id': 'ProgramData/72/2084.txt', 'distance': 0.9803169965744019, 'entity': {}}, {'id': 'ProgramData/96/677.txt', 'distance': 0.9803169965744019, 'entity': {}}, {'id': 'ProgramData/27/407.txt', 'distance': 0.9803169965744019, 'entity': {}}, {'id': 'ProgramData/48/1108.txt', 'distance': 0.9803168177604675, 'entity': {}}, {'id': 'ProgramData/95/912.txt', 'distance': 0.9643933773040771, 'entity': {}}]"
 
file: ,ProgramData/92/1145.txt
results: ,"[{'id': 'ProgramData/24/198.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/83/842.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/64/805.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/101/650.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/39/423.txt', 'distance': 1.0000004768371582, 'entity': {}}, {'id': 'ProgramData/92/422.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/95/1012.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/59/798.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/92/1145.txt', 'distance': 1.0000001192092896, 'entity': {}}, {'id': 'ProgramData/102/146.txt', 'distance': 1.0000001192092896, 'entity': {}}]"
 
file: ,ProgramData/92/764.txt
