 
file: ,ProgramData/61/542.txt
results: ,"[{'id': 'ProgramData/64/2480.txt', 'distance': 0.3869191110134125, 'entity': {}}, {'id': 'ProgramData/28/222.txt', 'distance': 0.3785984516143799, 'entity': {}}, {'id': 'ProgramData/32/11.txt', 'distance': 0.3713034689426422, 'entity': {}}, {'id': 'ProgramData/69/937.txt', 'distance': 0.3702350854873657, 'entity': {}}, {'id': 'ProgramData/16/319.txt', 'distance': 0.3670891523361206, 'entity': {}}, {'id': 'ProgramData/94/782.txt', 'distance': 0.36692526936531067, 'entity': {}}, {'id': 'ProgramData/69/1144.txt', 'distance': 0.36652082204818726, 'entity': {}}, {'id': 'ProgramData/7/881.txt', 'distance': 0.3664272129535675, 'entity': {}}, {'id': 'ProgramData/9/1006.txt', 'distance': 0.36587733030319214, 'entity': {}}, {'id': 'ProgramData/22/358.txt', 'distance': 0.3626759648323059, 'entity': {}}]"
 
file: ,ProgramData/95/1411.txt
results: ,"[{'id': 'ProgramData/80/653.txt', 'distance': 0.924411416053772, 'entity': {}}, {'id': 'ProgramData/11/236.txt', 'distance': 0.9223768711090088, 'entity': {}}, {'id': 'ProgramData/99/1447.txt', 'distance': 0.9222795963287354, 'entity': {}}, {'id': 'ProgramData/95/1458.txt', 'distance': 0.9220004677772522, 'entity': {}}, {'id': 'ProgramData/66/1101.txt', 'distance': 0.9218975901603699, 'entity': {}}, {'id': 'ProgramData/59/194.txt', 'distance': 0.9218403697013855, 'entity': {}}, {'id': 'ProgramData/33/2839.txt', 'distance': 0.9218189120292664, 'entity': {}}, {'id': 'ProgramData/15/1613.txt', 'distance': 0.9217318892478943, 'entity': {}}, {'id': 'ProgramData/15/1874.txt', 'distance': 0.9215782284736633, 'entity': {}}, {'id': 'ProgramData/83/3446.txt', 'distance': 0.9211693406105042, 'entity': {}}]"
 
file: ,ProgramData/59/1576.txt
results: ,"[{'id': 'ProgramData/8/1075.txt', 'distance': 0.7005355954170227, 'entity': {}}, {'id': 'ProgramData/8/1388.txt', 'distance': 0.7001166343688965, 'entity': {}}, {'id': 'ProgramData/44/957.txt', 'distance': 0.6932184100151062, 'entity': {}}, {'id': 'ProgramData/35/1486.txt', 'distance': 0.6895391345024109, 'entity': {}}, {'id': 'ProgramData/68/992.txt', 'distance': 0.6864902973175049, 'entity': {}}, {'id': 'ProgramData/74/374.txt', 'distance': 0.6857471466064453, 'entity': {}}, {'id': 'ProgramData/79/279.txt', 'distance': 0.6844223141670227, 'entity': {}}, {'id': 'ProgramData/74/131.txt', 'distance': 0.6838694214820862, 'entity': {}}, {'id': 'ProgramData/11/868.txt', 'distance': 0.6829376220703125, 'entity': {}}, {'id': 'ProgramData/44/41.txt', 'distance': 0.6818776726722717, 'entity': {}}]"
 
file: ,ProgramData/92/1508.txt
results: ,"[{'id': 'ProgramData/51/903.txt', 'distance': 0.8517712950706482, 'entity': {}}, {'id': 'ProgramData/104/1265.txt', 'distance': 0.8499837517738342, 'entity': {}}, {'id': 'ProgramData/92/168.txt', 'distance': 0.8497224450111389, 'entity': {}}, {'id': 'ProgramData/92/1111.txt', 'distance': 0.849105954170227, 'entity': {}}, {'id': 'ProgramData/38/345.txt', 'distance': 0.8482095003128052, 'entity': {}}, {'id': 'ProgramData/43/644.txt', 'distance': 0.8481863737106323, 'entity': {}}, {'id': 'ProgramData/38/1671.txt', 'distance': 0.8470580577850342, 'entity': {}}, {'id': 'ProgramData/15/149.txt', 'distance': 0.8468466997146606, 'entity': {}}, {'id': 'ProgramData/92/1212.txt', 'distance': 0.8465713858604431, 'entity': {}}, {'id': 'ProgramData/38/1417.txt', 'distance': 0.8465042114257812, 'entity': {}}]"
 
file: ,ProgramData/92/1284.txt
results: ,"[{'id': 'ProgramData/85/562.txt', 'distance': 0.608649730682373, 'entity': {}}, {'id': 'ProgramData/19/3115.txt', 'distance': 0.6076983213424683, 'entity': {}}, {'id': 'ProgramData/12/396.txt', 'distance': 0.6066045165061951, 'entity': {}}, {'id': 'ProgramData/19/1808.txt', 'distance': 0.5850026607513428, 'entity': {}}, {'id': 'ProgramData/8/937.txt', 'distance': 0.5695409774780273, 'entity': {}}, {'id': 'ProgramData/50/1660.txt', 'distance': 0.5664411783218384, 'entity': {}}, {'id': 'ProgramData/4/830.txt', 'distance': 0.5663341879844666, 'entity': {}}, {'id': 'ProgramData/95/1027.txt', 'distance': 0.564163863658905, 'entity': {}}, {'id': 'ProgramData/45/1186.txt', 'distance': 0.560651421546936, 'entity': {}}, {'id': 'ProgramData/7/118.txt', 'distance': 0.5598267912864685, 'entity': {}}]"
 
file: ,ProgramData/92/1380.txt
