 
file: ,ProgramData/61/1008.txt
ids: ,"['ProgramData/35/2413.txt', 'ProgramData/94/1449.txt', 'ProgramData/76/1417.txt', 'ProgramData/100/1711.txt', 'ProgramData/67/140.txt']"
distances: ,"[0.16822683811187744, 0.17995178699493408, 0.18675142526626587, 0.18676191568374634, 0.18961572647094727]"
 
file: ,ProgramData/61/542.txt
ids: ,"['ProgramData/34/2970.txt', 'ProgramData/44/262.txt', 'ProgramData/46/2427.txt', 'ProgramData/4/530.txt', 'ProgramData/94/993.txt']"
distances: ,"[0.5883506536483765, 0.5909795761108398, 0.5941224098205566, 0.6033021807670593, 0.6040366888046265]"
 
file: ,ProgramData/95/108.txt
ids: ,"['ProgramData/34/1810.txt', 'ProgramData/94/2772.txt', 'ProgramData/45/76.txt', 'ProgramData/75/230.txt', 'ProgramData/102/1174.txt']"
distances: ,"[0.1645945906639099, 0.17081254720687866, 0.17180216312408447, 0.17273873090744019, 0.1729016900062561]"
 
file: ,ProgramData/59/1576.txt
ids: ,"['ProgramData/9/982.txt', 'ProgramData/46/2457.txt', 'ProgramData/53/1495.txt', 'ProgramData/79/3883.txt', 'ProgramData/34/2797.txt']"
distances: ,"[0.13223451375961304, 0.19650322198867798, 0.24125051498413086, 0.28542542457580566, 0.2975887060165405]"
 
file: ,ProgramData/92/1131.txt
ids: ,"['ProgramData/51/916.txt', 'ProgramData/76/1124.txt', 'ProgramData/51/416.txt', 'ProgramData/102/337.txt', 'ProgramData/87/765.txt']"
distances: ,"[0.10484033823013306, 0.10582268238067627, 0.10993480682373047, 0.1106332540512085, 0.11219269037246704]"
 
file: ,ProgramData/66/152.txt
ids: ,"['ProgramData/72/2542.txt', 'ProgramData/19/104.txt', 'ProgramData/48/1530.txt', 'ProgramData/2/328.txt', 'ProgramData/22/18.txt']"
distances: ,"[0.14994359016418457, 0.1554139256477356, 0.16672557592391968, 0.16760724782943726, 0.1711694598197937]"
 
file: ,ProgramData/50/1240.txt
ids: ,"['ProgramData/6/1220.txt', 'ProgramData/75/82.txt', 'ProgramData/25/366.txt', 'ProgramData/10/1723.txt', 'ProgramData/51/596.txt']"
distances: ,"[0.04225379228591919, 0.15948700904846191, 0.15988987684249878, 0.16105228662490845, 0.16226917505264282]"
 
file: ,ProgramData/50/2700.txt
ids: ,"['ProgramData/7/1103.txt', 'ProgramData/5/898.txt', 'ProgramData/19/740.txt', 'ProgramData/66/1626.txt', 'ProgramData/73/1575.txt']"
distances: ,"[0.35311800241470337, 0.35557252168655396, 0.35641223192214966, 0.35646170377731323, 0.35714155435562134]"
 
file: ,ProgramData/68/39.txt
ids: ,"['ProgramData/12/47.txt', 'ProgramData/27/1774.txt', 'ProgramData/64/3031.txt', 'ProgramData/39/1744.txt', 'ProgramData/76/70.txt']"
distances: ,"[0.047219693660736084, 0.06431984901428223, 0.07207667827606201, 0.08054733276367188, 0.09136742353439331]"
 
file: ,ProgramData/57/1065.txt
ids: ,"['ProgramData/33/2048.txt', 'ProgramData/33/2429.txt', 'ProgramData/7/668.txt', 'ProgramData/19/1421.txt', 'ProgramData/5/222.txt']"
distances: ,"[0.06751269102096558, 0.07082772254943848, 0.07289934158325195, 0.07415443658828735, 0.07484811544418335]"
 
file: ,ProgramData/32/1575.txt
ids: ,"['ProgramData/90/514.txt', 'ProgramData/79/4027.txt', 'ProgramData/81/2015.txt', 'ProgramData/50/199.txt', 'ProgramData/66/1018.txt']"
distances: ,"[0.10966670513153076, 0.11126482486724854, 0.11486250162124634, 0.11730468273162842, 0.1195799708366394]"
 
file: ,ProgramData/32/1374.txt
ids: ,"['ProgramData/63/1838.txt', 'ProgramData/30/3247.txt', 'ProgramData/47/5663.txt', 'ProgramData/27/869.txt', 'ProgramData/101/442.txt']"
distances: ,"[0.1176263689994812, 0.13768643140792847, 0.27838313579559326, 0.4039226174354553, 0.4043880105018616]"
 
file: ,ProgramData/35/1035.txt
ids: ,"['ProgramData/63/937.txt', 'ProgramData/74/84.txt', 'ProgramData/74/60.txt', 'ProgramData/51/137.txt', 'ProgramData/60/394.txt']"
distances: ,"[0.061071038246154785, 0.06596213579177856, 0.06839042901992798, 0.06904745101928711, 0.07079160213470459]"
 
file: ,ProgramData/69/767.txt
ids: ,"['ProgramData/47/1095.txt', 'ProgramData/59/1541.txt', 'ProgramData/76/1469.txt', 'ProgramData/85/568.txt', 'ProgramData/98/396.txt']"
distances: ,"[0.08098345994949341, 0.10098165273666382, 0.10248655080795288, 0.11062675714492798, 0.11124324798583984]"
 
file: ,ProgramData/69/1194.txt
ids: ,"['ProgramData/30/1486.txt', 'ProgramData/67/1384.txt', 'ProgramData/7/354.txt', 'ProgramData/96/802.txt', 'ProgramData/79/5241.txt']"
distances: ,"[0.14406561851501465, 0.1522831916809082, 0.1540975570678711, 0.15440058708190918, 0.15537190437316895]"
 
file: ,ProgramData/56/1643.txt
ids: ,"['ProgramData/34/2706.txt', 'ProgramData/39/520.txt', 'ProgramData/84/3799.txt', 'ProgramData/27/1303.txt', 'ProgramData/75/955.txt']"
distances: ,"[0.3377341032028198, 0.3394279479980469, 0.339918851852417, 0.3404216766357422, 0.34059029817581177]"
 
file: ,ProgramData/51/510.txt
