Database Size,File Path,Memory Usage (MB)
0,ProgramData/61/510.txt,154170
1,ProgramData/61/538.txt,139958
2,ProgramData/61/1537.txt,139766
3,ProgramData/61/1251.txt,139582
4,ProgramData/61/921.txt,122959
5,ProgramData/61/935.txt,122470
6,ProgramData/61/1292.txt,138358
7,ProgramData/61/29.txt,121846
8,ProgramData/61/869.txt,137998
9,ProgramData/61/1319.txt,137823
10,ProgramData/61/855.txt,137758
11,ProgramData/61/1480.txt,121144
12,ProgramData/61/114.txt,137463
13,ProgramData/61/666.txt,137526
14,ProgramData/61/1127.txt,137974
15,ProgramData/61/1133.txt,121415
16,ProgramData/61/470.txt,137638
17,ProgramData/61/129.txt,137534
18,ProgramData/61/101.txt,137344
19,ProgramData/61/1481.txt,121014
20,ProgramData/61/673.txt,137295
21,ProgramData/61/1318.txt,120246
22,ProgramData/61/14.txt,120246
23,ProgramData/61/713.txt,120246
24,ProgramData/61/1293.txt,120246
25,ProgramData/61/920.txt,120246
26,ProgramData/61/908.txt,120246
27,ProgramData/61/1522.txt,136575
28,ProgramData/61/1536.txt,120246
29,ProgramData/61/511.txt,136575
30,ProgramData/61/288.txt,120246
31,ProgramData/61/1046.txt,120246
32,ProgramData/61/261.txt,136575
33,ProgramData/61/1252.txt,120246
34,ProgramData/61/1534.txt,136575
35,ProgramData/61/936.txt,120246
36,ProgramData/61/1508.txt,120950
37,ProgramData/61/1285.txt,120950
38,ProgramData/61/705.txt,137334
39,ProgramData/61/739.txt,137334
40,ProgramData/61/1332.txt,137279
41,ProgramData/61/1440.txt,137334
42,ProgramData/61/1468.txt,136286
43,ProgramData/61/856.txt,132462
44,ProgramData/61/671.txt,136575
45,ProgramData/61/1124.txt,120246
46,ProgramData/61/467.txt,136630
47,ProgramData/61/329.txt,120191
48,ProgramData/61/1119.txt,120246
49,ProgramData/61/894.txt,136630
50,ProgramData/61/880.txt,136630
51,ProgramData/61/116.txt,136575
52,ProgramData/61/1482.txt,120246
53,ProgramData/61/17.txt,136630
54,ProgramData/61/1290.txt,132407
55,ProgramData/61/1284.txt,120191
56,ProgramData/61/710.txt,136630
57,ProgramData/61/1535.txt,120246
58,ProgramData/61/1521.txt,120246
59,ProgramData/61/1086.txt,143566
60,ProgramData/61/1079.txt,161756
61,ProgramData/61/1069.txt,136575
62,ProgramData/61/270.txt,120246
63,ProgramData/61/1082.txt,139980
64,ProgramData/61/933.txt,136630
65,ProgramData/61/1257.txt,120246
