Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,212011
2,POJ/61/538.txt,199006
3,POJ/61/1537.txt,198686
4,POJ/61/1251.txt,198655
5,POJ/61/921.txt,199030
6,POJ/61/935.txt,198862
7,POJ/61/1292.txt,198718
8,POJ/61/29.txt,198598
9,POJ/61/869.txt,198366
10,POJ/61/1319.txt,198246
11,POJ/61/855.txt,198126
12,POJ/61/1480.txt,198006
13,POJ/61/114.txt,197878
14,POJ/61/666.txt,197758
15,POJ/61/1127.txt,197030
16,POJ/61/1133.txt,196814
17,POJ/61/470.txt,196606
18,POJ/61/129.txt,196510
19,POJ/61/101.txt,196336
20,POJ/61/1481.txt,196374
21,POJ/61/673.txt,192350
22,POJ/61/1318.txt,196310
23,POJ/61/14.txt,196310
24,POJ/61/713.txt,196310
25,POJ/61/1293.txt,196263
26,POJ/61/920.txt,196310
27,POJ/61/908.txt,196310
28,POJ/61/1522.txt,196310
29,POJ/61/1536.txt,196310
30,POJ/61/511.txt,197014
31,POJ/61/288.txt,196967
32,POJ/61/1046.txt,197014
33,POJ/61/261.txt,197014
34,POJ/61/1252.txt,196263
35,POJ/61/1534.txt,196310
36,POJ/61/936.txt,196310
37,POJ/61/1508.txt,196310
38,POJ/61/1285.txt,196310
39,POJ/61/705.txt,196310
40,POJ/61/739.txt,196216
41,POJ/61/1332.txt,196216
42,POJ/61/1440.txt,196310
43,POJ/61/1468.txt,196310
44,POJ/61/856.txt,196263
45,POJ/61/671.txt,196310
46,POJ/61/1124.txt,196216
47,POJ/61/467.txt,196310
48,POJ/61/329.txt,196310
49,POJ/61/1119.txt,196263
50,POJ/61/894.txt,226927
51,POJ/61/880.txt,193542
52,POJ/61/116.txt,196054
53,POJ/61/1482.txt,196310
54,POJ/61/17.txt,196310
55,POJ/61/1290.txt,196310
56,POJ/61/1284.txt,196310
57,POJ/61/710.txt,196310
58,POJ/61/1535.txt,196216
59,POJ/61/1521.txt,196310
60,POJ/61/1086.txt,197326
61,POJ/61/1079.txt,196310
62,POJ/61/1069.txt,196310
63,POJ/61/270.txt,196216
64,POJ/61/1082.txt,196310
65,POJ/61/933.txt,196310
66,POJ/61/1257.txt,196263
67,POJ/61/1280.txt,196310
68,POJ/61/1294.txt,196310
69,POJ/61/1479.txt,196310
70,POJ/61/1445.txt,196758
71,POJ/61/1323.txt,196128
72,POJ/61/884.txt,196310
73,POJ/61/890.txt,196310
74,POJ/61/1486.txt,196310
75,POJ/61/674.txt,196310
76,POJ/61/489.txt,196310
77,POJ/61/1135.txt,196310
78,POJ/61/477.txt,196310
79,POJ/61/311.txt,196263
80,POJ/61/339.txt,196310
81,POJ/61/885.txt,196310
82,POJ/61/1450.txt,196216
83,POJ/61/1478.txt,196263
84,POJ/61/846.txt,196310
85,POJ/61/1295.txt,196310
86,POJ/61/1281.txt,196310
87,POJ/61/729.txt,206231
88,POJ/61/1530.txt,196263
89,POJ/61/1256.txt,196310
90,POJ/61/926.txt,196310
91,POJ/61/932.txt,197014
92,POJ/61/1097.txt,192952
93,POJ/61/517.txt,196967
94,POJ/61/1040.txt,196920
95,POJ/61/515.txt,196310
96,POJ/61/273.txt,192342
97,POJ/61/930.txt,196310
98,POJ/61/918.txt,196310
99,POJ/61/1532.txt,196310
100,POJ/61/1526.txt,196216
101,POJ/61/688.txt,196263
102,POJ/61/10.txt,196216
103,POJ/61/1320.txt,192248
104,POJ/61/1446.txt,196310
105,POJ/61/139.txt,202448
106,POJ/61/111.txt,196310
107,POJ/61/1491.txt,196310
108,POJ/61/663.txt,196310
109,POJ/61/449.txt,196310
110,POJ/61/306.txt,196310
111,POJ/61/312.txt,196310
112,POJ/61/104.txt,196310
113,POJ/61/1484.txt,196310
114,POJ/61/886.txt,196216
115,POJ/61/892.txt,192342
116,POJ/61/1453.txt,196310
117,POJ/61/39.txt,196310
118,POJ/61/845.txt,196310
119,POJ/61/851.txt,196310
120,POJ/61/11.txt,196310
121,POJ/61/1241.txt,196310
122,POJ/61/919.txt,196310
123,POJ/61/1533.txt,196310
124,POJ/61/1269.txt,196263
125,POJ/61/514.txt,196310
126,POJ/61/266.txt,196310
127,POJ/61/528.txt,196310
128,POJ/61/299.txt,192342
129,POJ/61/1030.txt,196263
130,POJ/61/1018.txt,196216
131,POJ/61/567.txt,196216
132,POJ/61/229.txt,196310
133,POJ/61/1540.txt,196263
134,POJ/61/1568.txt,196216
135,POJ/61/995.txt,196310
136,POJ/61/1420.txt,196310
137,POJ/61/76.txt,196263
138,POJ/61/836.txt,196310
139,POJ/61/62.txt,196310
140,POJ/61/89.txt,196263
141,POJ/61/611.txt,196310
142,POJ/61/177.txt,196310
143,POJ/61/1150.txt,196310
144,POJ/61/375.txt,192342
145,POJ/61/413.txt,196310
146,POJ/61/1145.txt,196216
147,POJ/61/638.txt,196263
148,POJ/61/162.txt,196310
149,POJ/61/604.txt,196216
150,POJ/61/63.txt,196310
151,POJ/61/77.txt,196216
152,POJ/61/1353.txt,196216
153,POJ/61/758.txt,196310
154,POJ/61/1569.txt,196263
155,POJ/61/1233.txt,196263
156,POJ/61/214.txt,196190
157,POJ/61/599.txt,196310
