Database Size,File Path,Memory Usage (bytes)
0,ProgramData/61/510.txt,12893
1,ProgramData/61/538.txt,14937
2,ProgramData/61/1537.txt,14844
3,ProgramData/61/1251.txt,13423
4,ProgramData/61/921.txt,12393
5,ProgramData/61/935.txt,14170
6,ProgramData/61/1292.txt,14906
7,ProgramData/61/29.txt,13386
8,ProgramData/61/869.txt,12463
9,ProgramData/61/1319.txt,12514
10,ProgramData/61/855.txt,12476
11,ProgramData/61/1480.txt,12478
12,ProgramData/61/114.txt,12245
13,ProgramData/61/666.txt,12316
14,ProgramData/61/1127.txt,12229
15,ProgramData/61/1133.txt,12389
16,ProgramData/61/470.txt,12715
17,ProgramData/61/129.txt,12365
18,ProgramData/61/101.txt,12953
19,ProgramData/61/1481.txt,12710
20,ProgramData/61/673.txt,12389
21,ProgramData/61/1318.txt,12429
22,ProgramData/61/14.txt,12265
23,ProgramData/61/713.txt,12229
24,ProgramData/61/1293.txt,12514
25,ProgramData/61/920.txt,13352
26,ProgramData/61/908.txt,12623
27,ProgramData/61/1522.txt,12465
28,ProgramData/61/1536.txt,13249
29,ProgramData/61/511.txt,15207
30,ProgramData/61/288.txt,13113
31,ProgramData/61/1046.txt,13262
32,ProgramData/61/261.txt,12855
33,ProgramData/61/1252.txt,13249
34,ProgramData/61/1534.txt,13292
35,ProgramData/61/936.txt,13064
36,ProgramData/61/1508.txt,12968
37,ProgramData/61/1285.txt,13298
38,ProgramData/61/705.txt,12757
39,ProgramData/61/739.txt,12806
40,ProgramData/61/1332.txt,12674
41,ProgramData/61/1440.txt,12576
42,ProgramData/61/1468.txt,12563
43,ProgramData/61/856.txt,12653
44,ProgramData/61/671.txt,12414
45,ProgramData/61/1124.txt,12821
46,ProgramData/61/467.txt,13848
47,ProgramData/61/329.txt,12757
48,ProgramData/61/1119.txt,12269
49,ProgramData/61/894.txt,12561
50,ProgramData/61/880.txt,12721
51,ProgramData/61/116.txt,12389
52,ProgramData/61/1482.txt,12606
53,ProgramData/61/17.txt,12363
54,ProgramData/61/1290.txt,12416
55,ProgramData/61/1284.txt,12576
56,ProgramData/61/710.txt,12525
57,ProgramData/61/1535.txt,12269
58,ProgramData/61/1521.txt,12318
59,ProgramData/61/1086.txt,12318
60,ProgramData/61/1079.txt,12527
61,ProgramData/61/1069.txt,12717
62,ProgramData/61/270.txt,12316
63,ProgramData/61/1082.txt,12367
64,ProgramData/61/933.txt,12365
65,ProgramData/61/1257.txt,12478
66,ProgramData/61/1280.txt,12389
67,ProgramData/61/1294.txt,12269
68,ProgramData/61/1479.txt,12318
69,ProgramData/61/1445.txt,12318
70,ProgramData/61/1323.txt,12717
71,ProgramData/61/884.txt,12427
72,ProgramData/61/890.txt,12229
73,ProgramData/61/1486.txt,12229
74,ProgramData/61/674.txt,12229
75,ProgramData/61/489.txt,12389
76,ProgramData/61/1135.txt,12389
77,ProgramData/61/477.txt,12229
78,ProgramData/61/311.txt,12229
79,ProgramData/61/339.txt,12517
80,ProgramData/61/885.txt,12389
81,ProgramData/61/1450.txt,12389
82,ProgramData/61/1478.txt,12229
83,ProgramData/61/846.txt,12229
84,ProgramData/61/1295.txt,12229
85,ProgramData/61/1281.txt,12390
86,ProgramData/61/729.txt,12390
87,ProgramData/61/1530.txt,12230
88,ProgramData/61/1256.txt,12518
89,ProgramData/61/926.txt,12230
90,ProgramData/61/932.txt,12390
91,ProgramData/61/1097.txt,12390
