Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,17862
2,POJ/61/538.txt,15525
3,POJ/61/1537.txt,15752
4,POJ/61/1251.txt,15148
5,POJ/61/921.txt,16577
6,POJ/61/935.txt,15737
7,POJ/61/1292.txt,16023
8,POJ/61/29.txt,15668
9,POJ/61/869.txt,15033
10,POJ/61/1319.txt,16335
11,POJ/61/855.txt,15474
12,POJ/61/1480.txt,15133
13,POJ/61/114.txt,15229
14,POJ/61/666.txt,15566
15,POJ/61/1127.txt,15257
16,POJ/61/1133.txt,15231
17,POJ/61/470.txt,15338
18,POJ/61/129.txt,15621
19,POJ/61/101.txt,15033
20,POJ/61/1481.txt,15306
21,POJ/61/673.txt,15474
22,POJ/61/1318.txt,15715
23,POJ/61/14.txt,15374
24,POJ/61/713.txt,15719
25,POJ/61/1293.txt,15404
26,POJ/61/920.txt,15229
27,POJ/61/908.txt,15131
28,POJ/61/1522.txt,15231
29,POJ/61/1536.txt,15280
30,POJ/61/511.txt,15641
31,POJ/61/288.txt,15033
32,POJ/61/1046.txt,15389
33,POJ/61/261.txt,15131
34,POJ/61/1252.txt,15182
35,POJ/61/1534.txt,15404
36,POJ/61/936.txt,14984
37,POJ/61/1508.txt,15427
38,POJ/61/1285.txt,15274
39,POJ/61/705.txt,15289
40,POJ/61/739.txt,15304
41,POJ/61/1332.txt,14937
42,POJ/61/1440.txt,15035
43,POJ/61/1468.txt,14986
44,POJ/61/856.txt,15082
45,POJ/61/671.txt,15353
46,POJ/61/1124.txt,15225
47,POJ/61/467.txt,14984
48,POJ/61/329.txt,14984
49,POJ/61/1119.txt,15193
50,POJ/61/894.txt,15304
51,POJ/61/880.txt,14984
52,POJ/61/116.txt,14935
53,POJ/61/1482.txt,14986
54,POJ/61/17.txt,15270
55,POJ/61/1290.txt,15306
56,POJ/61/1284.txt,15242
57,POJ/61/710.txt,14984
58,POJ/61/1535.txt,14986
59,POJ/61/1521.txt,15084
60,POJ/61/1086.txt,15306
61,POJ/61/1079.txt,15084
62,POJ/61/1069.txt,15274
63,POJ/61/270.txt,15191
64,POJ/61/1082.txt,15035
65,POJ/61/933.txt,15304
66,POJ/61/1257.txt,14937
67,POJ/61/1280.txt,14937
68,POJ/61/1294.txt,14986
69,POJ/61/1479.txt,15329
70,POJ/61/1445.txt,15850
71,POJ/61/1323.txt,15035
72,POJ/61/884.txt,14935
73,POJ/61/890.txt,14984
74,POJ/61/1486.txt,14986
