Database Size,File Path,Memory Usage (MB)
0,POJ/61/510.txt,184299
1,POJ/61/538.txt,183232
2,POJ/61/1537.txt,183239
3,POJ/61/1251.txt,183392
4,POJ/61/921.txt,182750
5,POJ/61/935.txt,182459
6,POJ/61/1292.txt,182326
7,POJ/61/29.txt,182053
8,POJ/61/869.txt,181866
9,POJ/61/1319.txt,181771
10,POJ/61/855.txt,181594
11,POJ/61/1480.txt,181475
12,POJ/61/114.txt,181339
13,POJ/61/666.txt,181342
14,POJ/61/1127.txt,181142
15,POJ/61/1133.txt,181085
16,POJ/61/470.txt,180720
17,POJ/61/129.txt,180677
18,POJ/61/101.txt,180420
19,POJ/61/1481.txt,180365
20,POJ/61/673.txt,180211
21,POJ/61/1318.txt,179530
22,POJ/61/14.txt,179460
23,POJ/61/713.txt,179259
24,POJ/61/1293.txt,179232
25,POJ/61/920.txt,179246
26,POJ/61/908.txt,179140
27,POJ/61/1522.txt,179083
28,POJ/61/1536.txt,179383
29,POJ/61/511.txt,179230
30,POJ/61/288.txt,179212
31,POJ/61/1046.txt,179097
32,POJ/61/261.txt,179205
33,POJ/61/1252.txt,179303
34,POJ/61/1534.txt,179104
35,POJ/61/936.txt,179461
36,POJ/61/1508.txt,178957
37,POJ/61/1285.txt,179290
38,POJ/61/705.txt,179202
39,POJ/61/739.txt,179226
40,POJ/61/1332.txt,179099
41,POJ/61/1440.txt,179251
42,POJ/61/1468.txt,180106
43,POJ/61/856.txt,180015
44,POJ/61/671.txt,180098
45,POJ/61/1124.txt,179987
46,POJ/61/467.txt,179854
47,POJ/61/329.txt,180025
48,POJ/61/1119.txt,180046
49,POJ/61/894.txt,180276
50,POJ/61/880.txt,180008
51,POJ/61/116.txt,180122
52,POJ/61/1482.txt,180002
53,POJ/61/17.txt,180001
54,POJ/61/1290.txt,180019
55,POJ/61/1284.txt,180128
56,POJ/61/710.txt,179965
57,POJ/61/1535.txt,179813
58,POJ/61/1521.txt,179779
59,POJ/61/1086.txt,179876
60,POJ/61/1079.txt,179133
61,POJ/61/1069.txt,179373
62,POJ/61/270.txt,179164
63,POJ/61/1082.txt,179238
64,POJ/61/933.txt,179236
65,POJ/61/1257.txt,179102
66,POJ/61/1280.txt,179205
67,POJ/61/1294.txt,179208
68,POJ/61/1479.txt,179184
69,POJ/61/1445.txt,179199
70,POJ/61/1323.txt,179185
71,POJ/61/884.txt,179368
72,POJ/61/890.txt,179326
73,POJ/61/1486.txt,179449
74,POJ/61/674.txt,179350
75,POJ/61/489.txt,179266
76,POJ/61/1135.txt,179221
77,POJ/61/477.txt,179367
78,POJ/61/311.txt,179059
79,POJ/61/339.txt,178847
80,POJ/61/885.txt,179360
81,POJ/61/1450.txt,179159
82,POJ/61/1478.txt,179031
83,POJ/61/846.txt,179053
84,POJ/61/1295.txt,179169
85,POJ/61/1281.txt,179099
86,POJ/61/729.txt,179145
87,POJ/61/1530.txt,179132
88,POJ/61/1256.txt,178995
89,POJ/61/926.txt,179199
90,POJ/61/932.txt,179192
91,POJ/61/1097.txt,179151
92,POJ/61/517.txt,179191
93,POJ/61/1040.txt,179055
94,POJ/61/515.txt,179033
95,POJ/61/273.txt,179159
96,POJ/61/930.txt,179021
97,POJ/61/918.txt,178886
98,POJ/61/1532.txt,179144
99,POJ/61/1526.txt,179003
100,POJ/61/688.txt,179335
101,POJ/61/10.txt,179926
102,POJ/61/1320.txt,179763
103,POJ/61/1446.txt,179963
104,POJ/61/139.txt,179162
105,POJ/61/111.txt,179263
106,POJ/61/1491.txt,179238
107,POJ/61/663.txt,179204
108,POJ/61/449.txt,179302
109,POJ/61/306.txt,179046
110,POJ/61/312.txt,179366
111,POJ/61/104.txt,179644
112,POJ/61/1484.txt,179294
113,POJ/61/886.txt,179205
114,POJ/61/892.txt,179389
115,POJ/61/1453.txt,179014
116,POJ/61/39.txt,179214
117,POJ/61/845.txt,179113
118,POJ/61/851.txt,179202
119,POJ/61/11.txt,179088
120,POJ/61/1241.txt,179191
121,POJ/61/919.txt,179171
122,POJ/61/1533.txt,179023
123,POJ/61/1269.txt,179098
124,POJ/61/514.txt,179047
125,POJ/61/266.txt,179299
126,POJ/61/528.txt,179181
127,POJ/61/299.txt,179073
128,POJ/61/1030.txt,179245
129,POJ/61/1018.txt,179162
130,POJ/61/567.txt,179152
131,POJ/61/229.txt,179140
132,POJ/61/1540.txt,179141
133,POJ/61/1568.txt,179468
134,POJ/61/995.txt,179221
135,POJ/61/1420.txt,179205
136,POJ/61/76.txt,178917
137,POJ/61/836.txt,179079
138,POJ/61/62.txt,179062
139,POJ/61/89.txt,179218
140,POJ/61/611.txt,178955
141,POJ/61/177.txt,179223
142,POJ/61/1150.txt,178949
143,POJ/61/375.txt,179090
144,POJ/61/413.txt,179164
145,POJ/61/1145.txt,179061
146,POJ/61/638.txt,179089
147,POJ/61/162.txt,179168
148,POJ/61/604.txt,179493
149,POJ/61/63.txt,179092
150,POJ/61/77.txt,179228
151,POJ/61/1353.txt,179346
152,POJ/61/758.txt,179252
153,POJ/61/1569.txt,179348
154,POJ/61/1233.txt,179195
155,POJ/61/214.txt,179302
156,POJ/61/599.txt,179072
157,POJ/61/564.txt,179305
158,POJ/61/202.txt,179368
159,POJ/61/969.txt,179225
160,POJ/61/1423.txt,179194
161,POJ/61/1345.txt,179091
162,POJ/61/809.txt,179322
163,POJ/61/606.txt,179305
164,POJ/61/148.txt,179028
165,POJ/61/1153.txt,179317
166,POJ/61/1147.txt,179074
167,POJ/61/438.txt,178983
168,POJ/61/439.txt,179292
169,POJ/61/377.txt,179027
170,POJ/61/405.txt,179239
171,POJ/61/1191.txt,179065
172,POJ/61/1152.txt,179179
173,POJ/61/149.txt,179223
174,POJ/61/607.txt,179096
175,POJ/61/161.txt,179091
176,POJ/61/834.txt,179127
177,POJ/61/1378.txt,179140
178,POJ/61/74.txt,179075
179,POJ/61/60.txt,179045
180,POJ/61/1344.txt,179001
181,POJ/61/1350.txt,179129
182,POJ/61/983.txt,179057
183,POJ/61/997.txt,179098
184,POJ/61/773.txt,179156
185,POJ/61/798.txt,179150
186,POJ/61/954.txt,179117
187,POJ/61/1556.txt,179116
188,POJ/61/565.txt,179245
189,POJ/61/217.txt,179129
190,POJ/61/1036.txt,178989
191,POJ/61/950.txt,179136
192,POJ/61/1208.txt,179071
193,POJ/61/1220.txt,179464
194,POJ/61/1552.txt,179292
195,POJ/61/1585.txt,179532
196,POJ/61/777.txt,179264
197,POJ/61/70.txt,179231
198,POJ/61/830.txt,179360
199,POJ/61/58.txt,179202
200,POJ/61/1340.txt,179300
201,POJ/61/603.txt,179131
202,POJ/61/617.txt,179116
203,POJ/61/171.txt,179359
204,POJ/61/1156.txt,179287
205,POJ/61/367.txt,179245
206,POJ/61/1181.txt,179390
207,POJ/61/1194.txt,179118
208,POJ/61/1396.txt,178956
209,POJ/61/1427.txt,179164
210,POJ/61/1433.txt,179116
211,POJ/61/71.txt,178997
212,POJ/61/825.txt,179029
213,POJ/61/1369.txt,179286
214,POJ/61/1584.txt,179109
215,POJ/61/776.txt,178937
216,POJ/61/986.txt,178889
217,POJ/61/992.txt,179173
218,POJ/61/1553.txt,179050
219,POJ/61/1023.txt,179131
220,POJ/61/1009.txt,179048
221,POJ/61/562.txt,178975
222,POJ/61/576.txt,179287
223,POJ/61/1579.txt,179073
224,POJ/61/984.txt,179289
225,POJ/61/748.txt,179013
226,POJ/61/1586.txt,179041
227,POJ/61/1419.txt,179105
228,POJ/61/827.txt,179229
229,POJ/61/1431.txt,179340
230,POJ/61/172.txt,179490
231,POJ/61/614.txt,179141
232,POJ/61/600.txt,179412
233,POJ/61/1394.txt,178991
234,POJ/61/358.txt,179299
235,POJ/61/1182.txt,178913
236,POJ/61/365.txt,179799
237,POJ/61/1154.txt,179356
238,POJ/61/601.txt,179344
239,POJ/61/173.txt,179263
240,POJ/61/8.txt,179026
241,POJ/61/1424.txt,179106
242,POJ/61/198.txt,179550
243,POJ/61/1418.txt,179262
244,POJ/61/832.txt,179412
245,POJ/61/72.txt,179380
246,POJ/61/761.txt,178949
247,POJ/61/1222.txt,179093
248,POJ/61/1578.txt,179079
249,POJ/61/577.txt,179405
250,POJ/61/563.txt,179324
251,POJ/61/205.txt,179055
252,POJ/61/239.txt,179277
253,POJ/61/588.txt,179283
254,POJ/61/1008.txt,179432
255,POJ/61/585.txt,179372
256,POJ/61/591.txt,179027
257,POJ/61/220.txt,179099
258,POJ/61/234.txt,178921
259,POJ/61/750.txt,179146
260,POJ/61/195.txt,179030
261,POJ/61/57.txt,179081
262,POJ/61/817.txt,178920
263,POJ/61/5.txt,179016
264,POJ/61/43.txt,179230
265,POJ/61/803.txt,179160
266,POJ/61/630.txt,179079
267,POJ/61/156.txt,179109
268,POJ/61/397.txt,179135
269,POJ/61/426.txt,178993
270,POJ/61/369.txt,178949
271,POJ/61/427.txt,179037
272,POJ/61/341.txt,179065
273,POJ/61/1158.txt,179129
274,POJ/61/1170.txt,179269
275,POJ/61/396.txt,179127
276,POJ/61/619.txt,179035
277,POJ/61/1399.txt,178988
278,POJ/61/631.txt,178979
279,POJ/61/1428.txt,179111
280,POJ/61/42.txt,179307
281,POJ/61/4.txt,179192
282,POJ/61/745.txt,179450
283,POJ/61/976.txt,179408
284,POJ/61/1212.txt,179460
285,POJ/61/786.txt,179444
286,POJ/61/1574.txt,179228
287,POJ/61/209.txt,179163
288,POJ/61/235.txt,179065
289,POJ/61/547.txt,179063
290,POJ/61/584.txt,179285
291,POJ/61/1010.txt,179207
292,POJ/61/592.txt,179265
293,POJ/61/1006.txt,179048
294,POJ/61/586.txt,179175
295,POJ/61/948.txt,179072
296,POJ/61/974.txt,179284
297,POJ/61/753.txt,179213
298,POJ/61/828.txt,178883
299,POJ/61/40.txt,179053
300,POJ/61/800.txt,179107
301,POJ/61/394.txt,179115
302,POJ/61/431.txt,179174
303,POJ/61/1199.txt,178997
304,POJ/61/1198.txt,179069
305,POJ/61/342.txt,179038
306,POJ/61/424.txt,179115
307,POJ/61/1167.txt,179153
308,POJ/61/168.txt,179159
309,POJ/61/96.txt,178957
310,POJ/61/632.txt,179175
311,POJ/61/140.txt,179169
312,POJ/61/7.txt,179014
313,POJ/61/55.txt,178929
314,POJ/61/1403.txt,179246
315,POJ/61/1588.txt,179163
316,POJ/61/746.txt,179152
317,POJ/61/1205.txt,179293
318,POJ/61/949.txt,179052
319,POJ/61/578.txt,179408
320,POJ/61/222.txt,179497
321,POJ/61/587.txt,179187
322,POJ/61/1007.txt,179395
323,POJ/61/593.txt,179333
324,POJ/61/1003.txt,179259
325,POJ/61/568.txt,179463
326,POJ/61/1567.txt,179245
327,POJ/61/959.txt,179092
328,POJ/61/756.txt,179207
329,POJ/61/742.txt,179074
330,POJ/61/51.txt,179115
