Database Size,File Path,Memory Usage (bytes)
0,POJ/61/510.txt,183327
1,POJ/61/538.txt,183421
2,POJ/61/1537.txt,182975
3,POJ/61/1251.txt,182209
4,POJ/61/921.txt,181762
5,POJ/61/935.txt,181310
6,POJ/61/1292.txt,181103
7,POJ/61/29.txt,180801
8,POJ/61/869.txt,179765
9,POJ/61/1319.txt,179587
10,POJ/61/855.txt,179292
11,POJ/61/1480.txt,179487
12,POJ/61/114.txt,179213
13,POJ/61/666.txt,179242
14,POJ/61/1127.txt,179215
15,POJ/61/1133.txt,179317
16,POJ/61/470.txt,179497
17,POJ/61/129.txt,179895
18,POJ/61/101.txt,179836
19,POJ/61/1481.txt,179869
20,POJ/61/673.txt,179813
21,POJ/61/1318.txt,179939
22,POJ/61/14.txt,179992
23,POJ/61/713.txt,179900
24,POJ/61/1293.txt,179817
25,POJ/61/920.txt,179873
26,POJ/61/908.txt,179822
27,POJ/61/1522.txt,179042
28,POJ/61/1536.txt,179342
29,POJ/61/511.txt,179379
30,POJ/61/288.txt,179173
31,POJ/61/1046.txt,179197
32,POJ/61/261.txt,179166
33,POJ/61/1252.txt,179215
34,POJ/61/1534.txt,179063
35,POJ/61/936.txt,179375
36,POJ/61/1508.txt,179057
37,POJ/61/1285.txt,179390
38,POJ/61/705.txt,179304
39,POJ/61/739.txt,179140
40,POJ/61/1332.txt,179105
41,POJ/61/1440.txt,179163
42,POJ/61/1468.txt,179203
43,POJ/61/856.txt,179255
44,POJ/61/671.txt,179244
45,POJ/61/1124.txt,179993
46,POJ/61/467.txt,179909
47,POJ/61/329.txt,180033
48,POJ/61/1119.txt,179958
49,POJ/61/894.txt,179469
50,POJ/61/880.txt,179201
51,POJ/61/116.txt,179268
52,POJ/61/1482.txt,179193
53,POJ/61/17.txt,179196
54,POJ/61/1290.txt,179163
55,POJ/61/1284.txt,179272
56,POJ/61/710.txt,179111
57,POJ/61/1535.txt,179239
58,POJ/61/1521.txt,179017
59,POJ/61/1086.txt,179114
60,POJ/61/1079.txt,179162
61,POJ/61/1069.txt,179285
62,POJ/61/270.txt,179031
63,POJ/61/1082.txt,179103
64,POJ/61/933.txt,179103
65,POJ/61/1257.txt,179108
66,POJ/61/1280.txt,179117
67,POJ/61/1294.txt,179073
68,POJ/61/1479.txt,179049
69,POJ/61/1445.txt,179111
70,POJ/61/1323.txt,179285
71,POJ/61/884.txt,179235
72,POJ/61/890.txt,179193
73,POJ/61/1486.txt,179361
74,POJ/61/674.txt,179311
75,POJ/61/489.txt,179180
76,POJ/61/1135.txt,179180
77,POJ/61/477.txt,179281
78,POJ/61/311.txt,179067
79,POJ/61/339.txt,178996
80,POJ/61/885.txt,179321
81,POJ/61/1450.txt,179165
82,POJ/61/1478.txt,179037
83,POJ/61/846.txt,179155
