Database Size,File Path,Memory Usage (bytes)
0,POJ/61/510.txt,106069
1,POJ/61/538.txt,106305
2,POJ/61/1537.txt,105882
3,POJ/61/1251.txt,104954
4,POJ/61/921.txt,104598
5,POJ/61/935.txt,104160
6,POJ/61/1292.txt,103829
7,POJ/61/29.txt,103670
8,POJ/61/869.txt,102684
9,POJ/61/1319.txt,102319
10,POJ/61/855.txt,102204
11,POJ/61/1480.txt,102005
12,POJ/61/114.txt,102054
13,POJ/61/666.txt,102064
14,POJ/61/1127.txt,101994
15,POJ/61/1133.txt,101986
16,POJ/61/470.txt,102398
17,POJ/61/129.txt,102774
18,POJ/61/101.txt,102749
19,POJ/61/1481.txt,102638
20,POJ/61/673.txt,102723
21,POJ/61/1318.txt,102720
22,POJ/61/14.txt,102681
23,POJ/61/713.txt,102777
24,POJ/61/1293.txt,102701
25,POJ/61/920.txt,102698
26,POJ/61/908.txt,102679
27,POJ/61/1522.txt,101921
28,POJ/61/1536.txt,102010
29,POJ/61/511.txt,102010
30,POJ/61/288.txt,101995
31,POJ/61/1046.txt,102016
32,POJ/61/261.txt,102028
33,POJ/61/1252.txt,101977
34,POJ/61/1534.txt,101972
35,POJ/61/936.txt,101773
36,POJ/61/1508.txt,101884
37,POJ/61/1285.txt,101956
38,POJ/61/705.txt,101925
39,POJ/61/739.txt,102018
40,POJ/61/1332.txt,101892
41,POJ/61/1440.txt,101907
42,POJ/61/1468.txt,102036
43,POJ/61/856.txt,101922
44,POJ/61/671.txt,101846
45,POJ/61/1124.txt,102650
46,POJ/61/467.txt,102758
47,POJ/61/329.txt,102678
48,POJ/61/1119.txt,102643
49,POJ/61/894.txt,102030
50,POJ/61/880.txt,101923
51,POJ/61/116.txt,101927
52,POJ/61/1482.txt,102010
53,POJ/61/17.txt,101952
54,POJ/61/1290.txt,101916
55,POJ/61/1284.txt,101906
56,POJ/61/710.txt,101935
57,POJ/61/1535.txt,101955
58,POJ/61/1521.txt,102014
59,POJ/61/1086.txt,102010
60,POJ/61/1079.txt,101997
61,POJ/61/1069.txt,101964
62,POJ/61/270.txt,101886
63,POJ/61/1082.txt,101875
64,POJ/61/933.txt,101915
65,POJ/61/1257.txt,101923
66,POJ/61/1280.txt,101918
67,POJ/61/1294.txt,101904
68,POJ/61/1479.txt,101923
69,POJ/61/1445.txt,101840
70,POJ/61/1323.txt,101951
71,POJ/61/884.txt,101965
72,POJ/61/890.txt,101927
73,POJ/61/1486.txt,102034
74,POJ/61/674.txt,101931
75,POJ/61/489.txt,102012
76,POJ/61/1135.txt,101972
77,POJ/61/477.txt,101962
78,POJ/61/311.txt,101886
79,POJ/61/339.txt,101940
80,POJ/61/885.txt,101872
81,POJ/61/1450.txt,101958
82,POJ/61/1478.txt,101883
83,POJ/61/846.txt,101979
84,POJ/61/1295.txt,101887
85,POJ/61/1281.txt,101807
86,POJ/61/729.txt,101965
87,POJ/61/1530.txt,101828
88,POJ/61/1256.txt,101983
89,POJ/61/926.txt,101821
90,POJ/61/932.txt,101900
91,POJ/61/1097.txt,101907
92,POJ/61/517.txt,102743
93,POJ/61/1040.txt,101986
94,POJ/61/515.txt,101992
95,POJ/61/273.txt,101966
96,POJ/61/930.txt,101950
97,POJ/61/918.txt,101834
98,POJ/61/1532.txt,101886
99,POJ/61/1526.txt,101962
100,POJ/61/688.txt,101898
101,POJ/61/10.txt,101944
102,POJ/61/1320.txt,101981
103,POJ/61/1446.txt,101832
104,POJ/61/139.txt,101980
105,POJ/61/111.txt,101835
106,POJ/61/1491.txt,101886
107,POJ/61/663.txt,101898
108,POJ/61/449.txt,101839
109,POJ/61/306.txt,102003
110,POJ/61/312.txt,101919
111,POJ/61/104.txt,101946
112,POJ/61/1484.txt,101980
113,POJ/61/886.txt,101856
114,POJ/61/892.txt,101908
115,POJ/61/1453.txt,101921
116,POJ/61/39.txt,101957
117,POJ/61/845.txt,101974
118,POJ/61/851.txt,101890
119,POJ/61/11.txt,101977
120,POJ/61/1241.txt,102033
121,POJ/61/919.txt,101896
122,POJ/61/1533.txt,101894
123,POJ/61/1269.txt,101860
124,POJ/61/514.txt,101930
125,POJ/61/266.txt,101967
126,POJ/61/528.txt,101960
127,POJ/61/299.txt,101945
128,POJ/61/1030.txt,101819
129,POJ/61/1018.txt,101888
130,POJ/61/567.txt,101896
131,POJ/61/229.txt,101844
132,POJ/61/1540.txt,101871
133,POJ/61/1568.txt,101894
134,POJ/61/995.txt,101870
135,POJ/61/1420.txt,101836
136,POJ/61/76.txt,102666
137,POJ/61/836.txt,101982
138,POJ/61/62.txt,101980
139,POJ/61/89.txt,101964
140,POJ/61/611.txt,101982
141,POJ/61/177.txt,101986
142,POJ/61/1150.txt,101939
143,POJ/61/375.txt,102040
144,POJ/61/413.txt,101862
145,POJ/61/1145.txt,101966
146,POJ/61/638.txt,101845
147,POJ/61/162.txt,101958
148,POJ/61/604.txt,101870
149,POJ/61/63.txt,101970
150,POJ/61/77.txt,101916
151,POJ/61/1353.txt,101884
152,POJ/61/758.txt,101890
153,POJ/61/1569.txt,101943
154,POJ/61/1233.txt,101904
155,POJ/61/214.txt,101908
156,POJ/61/599.txt,101882
157,POJ/61/564.txt,101936
158,POJ/61/202.txt,101868
159,POJ/61/969.txt,101904
160,POJ/61/1423.txt,101891
161,POJ/61/1345.txt,101972
162,POJ/61/809.txt,101777
163,POJ/61/606.txt,101996
164,POJ/61/148.txt,101967
165,POJ/61/1153.txt,101925
166,POJ/61/1147.txt,101901
167,POJ/61/438.txt,101922
168,POJ/61/439.txt,101894
169,POJ/61/377.txt,101815
170,POJ/61/405.txt,101853
171,POJ/61/1191.txt,101912
172,POJ/61/1152.txt,101995
173,POJ/61/149.txt,101846
174,POJ/61/607.txt,101966
175,POJ/61/161.txt,101928
176,POJ/61/834.txt,101848
177,POJ/61/1378.txt,101910
178,POJ/61/74.txt,101914
179,POJ/61/60.txt,101877
180,POJ/61/1344.txt,101880
181,POJ/61/1350.txt,102020
182,POJ/61/983.txt,101962
183,POJ/61/997.txt,102023
184,POJ/61/773.txt,101920
185,POJ/61/798.txt,101944
186,POJ/61/954.txt,101916
187,POJ/61/1556.txt,101878
188,POJ/61/565.txt,101925
189,POJ/61/217.txt,101937
190,POJ/61/1036.txt,101970
191,POJ/61/950.txt,101987
192,POJ/61/1208.txt,101900
193,POJ/61/1220.txt,101864
194,POJ/61/1552.txt,101889
195,POJ/61/1585.txt,101884
196,POJ/61/777.txt,101898
197,POJ/61/70.txt,101969
198,POJ/61/830.txt,101831
199,POJ/61/58.txt,101879
200,POJ/61/1340.txt,101786
201,POJ/61/603.txt,101848
202,POJ/61/617.txt,101930
203,POJ/61/171.txt,102604
204,POJ/61/1156.txt,102018
205,POJ/61/367.txt,101962
206,POJ/61/1181.txt,101951
207,POJ/61/1194.txt,101900
208,POJ/61/1396.txt,101951
209,POJ/61/1427.txt,101836
210,POJ/61/1433.txt,101919
211,POJ/61/71.txt,102008
212,POJ/61/825.txt,101975
213,POJ/61/1369.txt,101934
214,POJ/61/1584.txt,101896
215,POJ/61/776.txt,101894
216,POJ/61/986.txt,101938
217,POJ/61/992.txt,101831
218,POJ/61/1553.txt,101926
219,POJ/61/1023.txt,101958
220,POJ/61/1009.txt,101935
221,POJ/61/562.txt,101988
222,POJ/61/576.txt,101834
223,POJ/61/1579.txt,101926
224,POJ/61/984.txt,101906
225,POJ/61/748.txt,101990
226,POJ/61/1586.txt,101932
227,POJ/61/1419.txt,101993
228,POJ/61/827.txt,102020
229,POJ/61/1431.txt,101975
230,POJ/61/172.txt,102026
231,POJ/61/614.txt,102006
232,POJ/61/600.txt,101943
233,POJ/61/1394.txt,101844
234,POJ/61/358.txt,101858
235,POJ/61/1182.txt,101926
236,POJ/61/365.txt,101858
237,POJ/61/1154.txt,101946
238,POJ/61/601.txt,101906
239,POJ/61/173.txt,101880
240,POJ/61/8.txt,101918
241,POJ/61/1424.txt,101950
242,POJ/61/198.txt,101906
243,POJ/61/1418.txt,101934
244,POJ/61/832.txt,101838
245,POJ/61/72.txt,101908
246,POJ/61/761.txt,101906
247,POJ/61/1222.txt,102658
248,POJ/61/1578.txt,101987
249,POJ/61/577.txt,102000
250,POJ/61/563.txt,101992
251,POJ/61/205.txt,102018
252,POJ/61/239.txt,102014
253,POJ/61/588.txt,101934
254,POJ/61/1008.txt,101893
255,POJ/61/585.txt,101965
256,POJ/61/591.txt,101911
257,POJ/61/220.txt,102036
258,POJ/61/234.txt,101880
259,POJ/61/750.txt,101956
260,POJ/61/195.txt,101895
261,POJ/61/57.txt,101934
262,POJ/61/817.txt,101862
263,POJ/61/5.txt,101888
264,POJ/61/43.txt,101977
265,POJ/61/803.txt,101886
266,POJ/61/630.txt,101838
267,POJ/61/156.txt,101924
268,POJ/61/397.txt,101887
269,POJ/61/426.txt,102038
270,POJ/61/369.txt,101965
271,POJ/61/427.txt,102010
272,POJ/61/341.txt,102036
273,POJ/61/1158.txt,101918
274,POJ/61/1170.txt,101931
275,POJ/61/396.txt,101877
276,POJ/61/619.txt,101884
277,POJ/61/1399.txt,101891
278,POJ/61/631.txt,101902
279,POJ/61/1428.txt,101911
280,POJ/61/42.txt,101945
281,POJ/61/4.txt,102014
282,POJ/61/745.txt,101940
283,POJ/61/976.txt,101960
284,POJ/61/1212.txt,101889
285,POJ/61/786.txt,101932
286,POJ/61/1574.txt,101922
287,POJ/61/209.txt,101888
288,POJ/61/235.txt,101851
289,POJ/61/547.txt,101874
290,POJ/61/584.txt,101858
291,POJ/61/1010.txt,102718
292,POJ/61/592.txt,102031
293,POJ/61/1006.txt,101926
294,POJ/61/586.txt,101933
295,POJ/61/948.txt,101896
296,POJ/61/974.txt,101939
297,POJ/61/753.txt,101953
298,POJ/61/828.txt,101862
299,POJ/61/40.txt,101888
300,POJ/61/800.txt,101976
301,POJ/61/394.txt,101942
302,POJ/61/431.txt,101862
303,POJ/61/1199.txt,102029
304,POJ/61/1198.txt,102023
305,POJ/61/342.txt,101877
306,POJ/61/424.txt,101962
307,POJ/61/1167.txt,101830
308,POJ/61/168.txt,101878
309,POJ/61/96.txt,101902
310,POJ/61/632.txt,101938
311,POJ/61/140.txt,101890
312,POJ/61/7.txt,101831
313,POJ/61/55.txt,105555
314,POJ/61/1403.txt,103546
315,POJ/61/1588.txt,103050
