Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,133087
2,POJ/61/538.txt,133316
3,POJ/61/1537.txt,132894
4,POJ/61/1251.txt,132572
5,POJ/61/921.txt,132336
6,POJ/61/935.txt,131808
7,POJ/61/1292.txt,131606
8,POJ/61/29.txt,131371
9,POJ/61/869.txt,131240
10,POJ/61/1319.txt,130266
11,POJ/61/855.txt,130018
12,POJ/61/1480.txt,129735
13,POJ/61/114.txt,129770
14,POJ/61/666.txt,129628
15,POJ/61/1127.txt,129521
16,POJ/61/1133.txt,129223
17,POJ/61/470.txt,129254
18,POJ/61/129.txt,129124
19,POJ/61/101.txt,129050
20,POJ/61/1481.txt,128788
21,POJ/61/673.txt,128676
22,POJ/61/1318.txt,129338
23,POJ/61/14.txt,129358
24,POJ/61/713.txt,129272
25,POJ/61/1293.txt,129177
26,POJ/61/920.txt,129008
27,POJ/61/908.txt,129232
28,POJ/61/1522.txt,129246
29,POJ/61/1536.txt,129123
30,POJ/61/511.txt,129028
31,POJ/61/288.txt,129058
32,POJ/61/1046.txt,129258
33,POJ/61/261.txt,129308
34,POJ/61/1252.txt,129214
35,POJ/61/1534.txt,129164
36,POJ/61/936.txt,129116
37,POJ/61/1508.txt,129044
38,POJ/61/1285.txt,129206
39,POJ/61/705.txt,129198
40,POJ/61/739.txt,129140
41,POJ/61/1332.txt,129120
42,POJ/61/1440.txt,129125
43,POJ/61/1468.txt,129176
44,POJ/61/856.txt,129022
45,POJ/61/671.txt,129128
46,POJ/61/1124.txt,129102
47,POJ/61/467.txt,128439
48,POJ/61/329.txt,128466
49,POJ/61/1119.txt,128418
50,POJ/61/894.txt,128423
51,POJ/61/880.txt,128353
52,POJ/61/116.txt,128407
53,POJ/61/1482.txt,128420
54,POJ/61/17.txt,128426
55,POJ/61/1290.txt,128304
56,POJ/61/1284.txt,128394
57,POJ/61/710.txt,128295
58,POJ/61/1535.txt,128218
59,POJ/61/1521.txt,128231
60,POJ/61/1086.txt,128386
61,POJ/61/1079.txt,128441
62,POJ/61/1069.txt,128397
63,POJ/61/270.txt,128195
64,POJ/61/1082.txt,128316
65,POJ/61/933.txt,128315
66,POJ/61/1257.txt,128318
67,POJ/61/1280.txt,128434
68,POJ/61/1294.txt,128319
69,POJ/61/1479.txt,128490
70,POJ/61/1445.txt,128452
71,POJ/61/1323.txt,128388
72,POJ/61/884.txt,128409
73,POJ/61/890.txt,128499
74,POJ/61/1486.txt,128429
75,POJ/61/674.txt,128380
76,POJ/61/489.txt,128260
77,POJ/61/1135.txt,128350
78,POJ/61/477.txt,128261
79,POJ/61/311.txt,128240
80,POJ/61/339.txt,128207
81,POJ/61/885.txt,128182
82,POJ/61/1450.txt,128411
83,POJ/61/1478.txt,128973
84,POJ/61/846.txt,129185
85,POJ/61/1295.txt,129112
86,POJ/61/1281.txt,129289
87,POJ/61/729.txt,129010
88,POJ/61/1530.txt,128301
89,POJ/61/1256.txt,128365
90,POJ/61/926.txt,128451
91,POJ/61/932.txt,128370
92,POJ/61/1097.txt,128472
93,POJ/61/517.txt,128403
94,POJ/61/1040.txt,128412
95,POJ/61/515.txt,128458
96,POJ/61/273.txt,128444
97,POJ/61/930.txt,128269
98,POJ/61/918.txt,128395
99,POJ/61/1532.txt,128361
100,POJ/61/1526.txt,128337
101,POJ/61/688.txt,128414
102,POJ/61/10.txt,128254
103,POJ/61/1320.txt,128207
104,POJ/61/1446.txt,128450
105,POJ/61/139.txt,128372
106,POJ/61/111.txt,128466
107,POJ/61/1491.txt,128298
108,POJ/61/663.txt,128450
109,POJ/61/449.txt,128506
110,POJ/61/306.txt,128378
111,POJ/61/312.txt,128438
112,POJ/61/104.txt,128367
113,POJ/61/1484.txt,128127
114,POJ/61/886.txt,128327
115,POJ/61/892.txt,128289
116,POJ/61/1453.txt,128193
117,POJ/61/39.txt,128325
118,POJ/61/845.txt,128261
119,POJ/61/851.txt,128276
120,POJ/61/11.txt,128198
121,POJ/61/1241.txt,128193
122,POJ/61/919.txt,128443
123,POJ/61/1533.txt,128298
124,POJ/61/1269.txt,128249
125,POJ/61/514.txt,128322
126,POJ/61/266.txt,128335
127,POJ/61/528.txt,128225
128,POJ/61/299.txt,128157
129,POJ/61/1030.txt,128657
130,POJ/61/1018.txt,128943
131,POJ/61/567.txt,129042
132,POJ/61/229.txt,128977
133,POJ/61/1540.txt,128987
134,POJ/61/1568.txt,128702
135,POJ/61/995.txt,128327
136,POJ/61/1420.txt,128347
137,POJ/61/76.txt,128472
138,POJ/61/836.txt,128366
139,POJ/61/62.txt,128384
140,POJ/61/89.txt,128433
141,POJ/61/611.txt,128390
142,POJ/61/177.txt,128364
143,POJ/61/1150.txt,128454
144,POJ/61/375.txt,128446
145,POJ/61/413.txt,128432
146,POJ/61/1145.txt,128327
147,POJ/61/638.txt,128342
148,POJ/61/162.txt,128273
149,POJ/61/604.txt,128251
150,POJ/61/63.txt,128247
151,POJ/61/77.txt,128231
152,POJ/61/1353.txt,128388
153,POJ/61/758.txt,128299
154,POJ/61/1569.txt,128257
155,POJ/61/1233.txt,128328
156,POJ/61/214.txt,128296
157,POJ/61/599.txt,128288
158,POJ/61/564.txt,128239
159,POJ/61/202.txt,128189
160,POJ/61/969.txt,128151
161,POJ/61/1423.txt,128209
162,POJ/61/1345.txt,128290
163,POJ/61/809.txt,128207
164,POJ/61/606.txt,128320
165,POJ/61/148.txt,128219
166,POJ/61/1153.txt,128224
167,POJ/61/1147.txt,128256
168,POJ/61/438.txt,128286
169,POJ/61/439.txt,128284
170,POJ/61/377.txt,128259
171,POJ/61/405.txt,128274
172,POJ/61/1191.txt,128232
173,POJ/61/1152.txt,128258
174,POJ/61/149.txt,128287
175,POJ/61/607.txt,128286
176,POJ/61/161.txt,128230
177,POJ/61/834.txt,128205
178,POJ/61/1378.txt,128488
179,POJ/61/74.txt,128518
180,POJ/61/60.txt,128416
181,POJ/61/1344.txt,128405
182,POJ/61/1350.txt,128478
183,POJ/61/983.txt,128502
184,POJ/61/997.txt,128456
185,POJ/61/773.txt,128416
186,POJ/61/798.txt,128433
187,POJ/61/954.txt,128432
188,POJ/61/1556.txt,128340
189,POJ/61/565.txt,128409
190,POJ/61/217.txt,128314
191,POJ/61/1036.txt,128520
192,POJ/61/950.txt,128429
193,POJ/61/1208.txt,128353
194,POJ/61/1220.txt,128316
195,POJ/61/1552.txt,128369
196,POJ/61/1585.txt,128201
197,POJ/61/777.txt,128225
198,POJ/61/70.txt,128123
199,POJ/61/830.txt,128312
200,POJ/61/58.txt,128236
201,POJ/61/1340.txt,128261
202,POJ/61/603.txt,128282
203,POJ/61/617.txt,128246
204,POJ/61/171.txt,128295
205,POJ/61/1156.txt,128149
206,POJ/61/367.txt,128292
207,POJ/61/1181.txt,128217
208,POJ/61/1194.txt,128181
209,POJ/61/1396.txt,128218
210,POJ/61/1427.txt,128346
211,POJ/61/1433.txt,128286
212,POJ/61/71.txt,128255
213,POJ/61/825.txt,128211
214,POJ/61/1369.txt,128223
215,POJ/61/1584.txt,128129
216,POJ/61/776.txt,128157
217,POJ/61/986.txt,128270
218,POJ/61/992.txt,128219
219,POJ/61/1553.txt,128269
220,POJ/61/1023.txt,128315
221,POJ/61/1009.txt,128189
222,POJ/61/562.txt,128409
223,POJ/61/576.txt,128267
224,POJ/61/1579.txt,129031
225,POJ/61/984.txt,128458
226,POJ/61/748.txt,128448
227,POJ/61/1586.txt,128393
228,POJ/61/1419.txt,128522
229,POJ/61/827.txt,128393
230,POJ/61/1431.txt,128401
231,POJ/61/172.txt,128420
232,POJ/61/614.txt,128432
233,POJ/61/600.txt,128476
234,POJ/61/1394.txt,128370
235,POJ/61/358.txt,128438
236,POJ/61/1182.txt,128502
237,POJ/61/365.txt,128482
238,POJ/61/1154.txt,128342
239,POJ/61/601.txt,128359
240,POJ/61/173.txt,128378
241,POJ/61/8.txt,128274
242,POJ/61/1424.txt,128171
243,POJ/61/198.txt,128141
244,POJ/61/1418.txt,128217
245,POJ/61/832.txt,128357
246,POJ/61/72.txt,128129
247,POJ/61/761.txt,128246
248,POJ/61/1222.txt,128357
249,POJ/61/1578.txt,128432
250,POJ/61/577.txt,128329
251,POJ/61/563.txt,128235
252,POJ/61/205.txt,128230
253,POJ/61/239.txt,128245
254,POJ/61/588.txt,128310
255,POJ/61/1008.txt,128197
256,POJ/61/585.txt,128185
257,POJ/61/591.txt,128226
258,POJ/61/220.txt,128264
259,POJ/61/234.txt,128220
260,POJ/61/750.txt,128223
261,POJ/61/195.txt,128354
262,POJ/61/57.txt,128247
263,POJ/61/817.txt,128235
264,POJ/61/5.txt,128319
265,POJ/61/43.txt,128212
266,POJ/61/803.txt,128276
267,POJ/61/630.txt,128198
268,POJ/61/156.txt,128438
269,POJ/61/397.txt,128422
270,POJ/61/426.txt,128458
271,POJ/61/369.txt,128562
272,POJ/61/427.txt,128407
273,POJ/61/341.txt,128476
274,POJ/61/1158.txt,128472
275,POJ/61/1170.txt,128447
276,POJ/61/396.txt,128472
277,POJ/61/619.txt,128431
278,POJ/61/1399.txt,128526
279,POJ/61/631.txt,128420
280,POJ/61/1428.txt,128442
281,POJ/61/42.txt,128245
282,POJ/61/4.txt,128291
283,POJ/61/745.txt,128280
284,POJ/61/976.txt,128203
285,POJ/61/1212.txt,128165
286,POJ/61/786.txt,128331
287,POJ/61/1574.txt,128141
288,POJ/61/209.txt,128229
289,POJ/61/235.txt,128262
290,POJ/61/547.txt,128301
291,POJ/61/584.txt,128330
292,POJ/61/1010.txt,128215
293,POJ/61/592.txt,128179
294,POJ/61/1006.txt,128253
295,POJ/61/586.txt,128165
296,POJ/61/948.txt,128258
297,POJ/61/974.txt,128244
298,POJ/61/753.txt,128256
299,POJ/61/828.txt,128301
300,POJ/61/40.txt,128272
301,POJ/61/800.txt,128209
302,POJ/61/394.txt,128193
303,POJ/61/431.txt,128145
304,POJ/61/1199.txt,128181
305,POJ/61/1198.txt,128294
306,POJ/61/342.txt,128244
307,POJ/61/424.txt,128299
308,POJ/61/1167.txt,128161
309,POJ/61/168.txt,128305
310,POJ/61/96.txt,128163
311,POJ/61/632.txt,128247
312,POJ/61/140.txt,128061
313,POJ/61/7.txt,128278
314,POJ/61/55.txt,128943
315,POJ/61/1403.txt,128396
316,POJ/61/1588.txt,128429
317,POJ/61/746.txt,128408
318,POJ/61/1205.txt,128424
319,POJ/61/949.txt,128490
320,POJ/61/578.txt,128434
321,POJ/61/222.txt,128433
