Database Size,File Path,Memory Usage (MB)
1,POJ/61/510.txt,133201
2,POJ/61/538.txt,132765
3,POJ/61/1537.txt,130910
4,POJ/61/1251.txt,130595
5,POJ/61/921.txt,130249
6,POJ/61/935.txt,130129
7,POJ/61/1292.txt,130334
8,POJ/61/29.txt,130117
9,POJ/61/869.txt,129858
10,POJ/61/1319.txt,129514
11,POJ/61/855.txt,129344
12,POJ/61/1480.txt,129140
13,POJ/61/114.txt,129178
14,POJ/61/666.txt,129109
15,POJ/61/1127.txt,129269
16,POJ/61/1133.txt,129036
17,POJ/61/470.txt,129181
18,POJ/61/129.txt,129155
19,POJ/61/101.txt,129138
20,POJ/61/1481.txt,129105
21,POJ/61/673.txt,128417
22,POJ/61/1318.txt,128431
23,POJ/61/14.txt,128352
24,POJ/61/713.txt,128328
25,POJ/61/1293.txt,128318
26,POJ/61/920.txt,128332
27,POJ/61/908.txt,128423
28,POJ/61/1522.txt,128388
29,POJ/61/1536.txt,128312
30,POJ/61/511.txt,128360
31,POJ/61/288.txt,128343
32,POJ/61/1046.txt,128353
33,POJ/61/261.txt,128452
34,POJ/61/1252.txt,128403
35,POJ/61/1534.txt,128306
36,POJ/61/936.txt,128401
37,POJ/61/1508.txt,128421
38,POJ/61/1285.txt,128301
39,POJ/61/705.txt,129110
40,POJ/61/739.txt,129193
41,POJ/61/1332.txt,129077
42,POJ/61/1440.txt,128455
43,POJ/61/1468.txt,128365
44,POJ/61/856.txt,128354
45,POJ/61/671.txt,128413
46,POJ/61/1124.txt,128385
47,POJ/61/467.txt,128398
48,POJ/61/329.txt,128378
49,POJ/61/1119.txt,128328
50,POJ/61/894.txt,128335
51,POJ/61/880.txt,128359
52,POJ/61/116.txt,128366
53,POJ/61/1482.txt,128330
54,POJ/61/17.txt,128387
55,POJ/61/1290.txt,128308
56,POJ/61/1284.txt,128351
57,POJ/61/710.txt,128395
58,POJ/61/1535.txt,128269
59,POJ/61/1521.txt,128329
60,POJ/61/1086.txt,128249
61,POJ/61/1079.txt,128351
62,POJ/61/1069.txt,128448
63,POJ/61/270.txt,129110
64,POJ/61/1082.txt,128461
65,POJ/61/933.txt,128415
66,POJ/61/1257.txt,128369
67,POJ/61/1280.txt,128391
68,POJ/61/1294.txt,128417
69,POJ/61/1479.txt,128447
70,POJ/61/1445.txt,128362
71,POJ/61/1323.txt,128298
72,POJ/61/884.txt,128368
73,POJ/61/890.txt,128458
74,POJ/61/1486.txt,128339
75,POJ/61/674.txt,128292
76,POJ/61/489.txt,128313
77,POJ/61/1135.txt,128307
78,POJ/61/477.txt,128361
79,POJ/61/311.txt,128293
80,POJ/61/339.txt,128307
81,POJ/61/885.txt,128235
82,POJ/61/1450.txt,128321
83,POJ/61/1478.txt,128303
84,POJ/61/846.txt,128329
85,POJ/61/1295.txt,128685
86,POJ/61/1281.txt,128431
87,POJ/61/729.txt,128295
88,POJ/61/1530.txt,128327
89,POJ/61/1256.txt,128275
90,POJ/61/926.txt,128457
91,POJ/61/932.txt,128329
92,POJ/61/1097.txt,128429
93,POJ/61/517.txt,128409
94,POJ/61/1040.txt,128369
95,POJ/61/515.txt,128370
96,POJ/61/273.txt,128309
97,POJ/61/930.txt,128322
98,POJ/61/918.txt,128354
99,POJ/61/1532.txt,128365
100,POJ/61/1526.txt,128341
101,POJ/61/688.txt,128371
102,POJ/61/10.txt,128307
103,POJ/61/1320.txt,128303
104,POJ/61/1446.txt,128311
105,POJ/61/139.txt,128235
106,POJ/61/111.txt,128329
107,POJ/61/1491.txt,128253
108,POJ/61/663.txt,129081
109,POJ/61/449.txt,129137
110,POJ/61/306.txt,128335
111,POJ/61/312.txt,128348
112,POJ/61/104.txt,128465
113,POJ/61/1484.txt,128317
114,POJ/61/886.txt,128284
115,POJ/61/892.txt,128293
116,POJ/61/1453.txt,128336
117,POJ/61/39.txt,128331
118,POJ/61/845.txt,128359
119,POJ/61/851.txt,128327
120,POJ/61/11.txt,128251
