Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,132064
2,POJ/61/538.txt,131149
3,POJ/61/1537.txt,130557
4,POJ/61/1251.txt,130707
5,POJ/61/921.txt,130739
6,POJ/61/935.txt,130777
7,POJ/61/1292.txt,130407
8,POJ/61/29.txt,130222
9,POJ/61/869.txt,130150
10,POJ/61/1319.txt,129871
11,POJ/61/855.txt,129472
12,POJ/61/1480.txt,129773
13,POJ/61/114.txt,129389
14,POJ/61/666.txt,128513
15,POJ/61/1127.txt,128371
16,POJ/61/1133.txt,128253
17,POJ/61/470.txt,128189
18,POJ/61/129.txt,127915
19,POJ/61/101.txt,127969
20,POJ/61/1481.txt,127777
21,POJ/61/673.txt,127565
22,POJ/61/1318.txt,127727
23,POJ/61/14.txt,127591
24,POJ/61/713.txt,127450
25,POJ/61/1293.txt,128098
26,POJ/61/920.txt,128341
27,POJ/61/908.txt,127401
28,POJ/61/1522.txt,127301
29,POJ/61/1536.txt,127817
30,POJ/61/511.txt,127543
31,POJ/61/288.txt,127369
32,POJ/61/1046.txt,127457
33,POJ/61/261.txt,127414
34,POJ/61/1252.txt,127439
35,POJ/61/1534.txt,127350
36,POJ/61/936.txt,127525
37,POJ/61/1508.txt,127342
38,POJ/61/1285.txt,127469
39,POJ/61/705.txt,128286
40,POJ/61/739.txt,128086
41,POJ/61/1332.txt,128177
42,POJ/61/1440.txt,128125
43,POJ/61/1468.txt,127453
44,POJ/61/856.txt,127563
45,POJ/61/671.txt,127623
46,POJ/61/1124.txt,127601
47,POJ/61/467.txt,127529
48,POJ/61/329.txt,127442
49,POJ/61/1119.txt,127371
50,POJ/61/894.txt,127546
51,POJ/61/880.txt,127336
52,POJ/61/116.txt,127645
53,POJ/61/1482.txt,127447
54,POJ/61/17.txt,127435
55,POJ/61/1290.txt,127156
56,POJ/61/1284.txt,127645
57,POJ/61/710.txt,127074
58,POJ/61/1535.txt,127371
59,POJ/61/1521.txt,127485
60,POJ/61/1086.txt,127431
61,POJ/61/1079.txt,127238
62,POJ/61/1069.txt,127696
63,POJ/61/270.txt,127543
64,POJ/61/1082.txt,127306
65,POJ/61/933.txt,127486
66,POJ/61/1257.txt,127546
67,POJ/61/1280.txt,127277
68,POJ/61/1294.txt,127300
69,POJ/61/1479.txt,127381
70,POJ/61/1445.txt,127255
71,POJ/61/1323.txt,127065
72,POJ/61/884.txt,127355
73,POJ/61/890.txt,127405
74,POJ/61/1486.txt,127625
75,POJ/61/674.txt,127474
76,POJ/61/489.txt,127216
77,POJ/61/1135.txt,127321
78,POJ/61/477.txt,127322
79,POJ/61/311.txt,127353
