Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,131493
2,POJ/61/538.txt,131240
3,POJ/61/1537.txt,131054
4,POJ/61/1251.txt,130314
5,POJ/61/921.txt,129102
6,POJ/61/935.txt,129068
7,POJ/61/1292.txt,128520
8,POJ/61/29.txt,128667
9,POJ/61/869.txt,128882
10,POJ/61/1319.txt,128538
11,POJ/61/855.txt,127598
12,POJ/61/1480.txt,127708
13,POJ/61/114.txt,127604
14,POJ/61/666.txt,127514
15,POJ/61/1127.txt,127482
16,POJ/61/1133.txt,127562
17,POJ/61/470.txt,127369
18,POJ/61/129.txt,127928
19,POJ/61/101.txt,127498
20,POJ/61/1481.txt,127306
21,POJ/61/673.txt,127170
22,POJ/61/1318.txt,127543
23,POJ/61/14.txt,127428
24,POJ/61/713.txt,127560
25,POJ/61/1293.txt,127384
26,POJ/61/920.txt,127590
27,POJ/61/908.txt,127418
28,POJ/61/1522.txt,127316
29,POJ/61/1536.txt,127926
30,POJ/61/511.txt,127466
31,POJ/61/288.txt,127292
32,POJ/61/1046.txt,128287
33,POJ/61/261.txt,127478
34,POJ/61/1252.txt,127501
35,POJ/61/1534.txt,127365
36,POJ/61/936.txt,127636
37,POJ/61/1508.txt,127498
38,POJ/61/1285.txt,127672
39,POJ/61/705.txt,128256
40,POJ/61/739.txt,128056
41,POJ/61/1332.txt,127432
42,POJ/61/1440.txt,127466
43,POJ/61/1468.txt,127554
44,POJ/61/856.txt,127580
45,POJ/61/671.txt,127593
46,POJ/61/1124.txt,127428
47,POJ/61/467.txt,127546
48,POJ/61/329.txt,127412
49,POJ/61/1119.txt,127292
50,POJ/61/894.txt,127610
51,POJ/61/880.txt,127353
52,POJ/61/116.txt,127521
53,POJ/61/1482.txt,127462
54,POJ/61/17.txt,127313
55,POJ/61/1290.txt,127218
56,POJ/61/1284.txt,127754
57,POJ/61/710.txt,127561
58,POJ/61/1535.txt,127339
59,POJ/61/1521.txt,127406
60,POJ/61/1086.txt,127258
61,POJ/61/1079.txt,127206
62,POJ/61/1069.txt,127711
63,POJ/61/270.txt,127560
64,POJ/61/1082.txt,127368
65,POJ/61/933.txt,127550
66,POJ/61/1257.txt,127561
67,POJ/61/1280.txt,127480
