Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,317725
2,POJ/61/538.txt,304564
3,POJ/61/1537.txt,304624
4,POJ/61/1251.txt,304339
5,POJ/61/921.txt,304142
6,POJ/61/935.txt,304541
7,POJ/61/1292.txt,304901
8,POJ/61/29.txt,304948
9,POJ/61/869.txt,304930
10,POJ/61/1319.txt,304571
11,POJ/61/855.txt,304492
12,POJ/61/1480.txt,304372
13,POJ/61/114.txt,304443
14,POJ/61/666.txt,304228
15,POJ/61/1127.txt,304174
16,POJ/61/1133.txt,303986
17,POJ/61/470.txt,304168
18,POJ/61/129.txt,303949
19,POJ/61/101.txt,303733
20,POJ/61/1481.txt,303627
21,POJ/61/673.txt,303565
22,POJ/61/1318.txt,303531
23,POJ/61/14.txt,303641
24,POJ/61/713.txt,303711
25,POJ/61/1293.txt,303731
26,POJ/61/920.txt,303494
27,POJ/61/908.txt,303519
28,POJ/61/1522.txt,303636
29,POJ/61/1536.txt,303440
30,POJ/61/511.txt,303462
31,POJ/61/288.txt,303522
32,POJ/61/1046.txt,303482
33,POJ/61/261.txt,304004
34,POJ/61/1252.txt,303555
35,POJ/61/1534.txt,303437
36,POJ/61/936.txt,303460
37,POJ/61/1508.txt,303516
38,POJ/61/1285.txt,303666
39,POJ/61/705.txt,303503
40,POJ/61/739.txt,303474
41,POJ/61/1332.txt,303749
42,POJ/61/1440.txt,303441
43,POJ/61/1468.txt,303554
44,POJ/61/856.txt,303365
45,POJ/61/671.txt,303422
46,POJ/61/1124.txt,303501
47,POJ/61/467.txt,302634
48,POJ/61/329.txt,302783
49,POJ/61/1119.txt,302839
50,POJ/61/894.txt,302624
51,POJ/61/880.txt,302588
52,POJ/61/116.txt,302618
53,POJ/61/1482.txt,302712
54,POJ/61/17.txt,302603
55,POJ/61/1290.txt,302592
56,POJ/61/1284.txt,302633
57,POJ/61/710.txt,302943
58,POJ/61/1535.txt,302755
59,POJ/61/1521.txt,302576
60,POJ/61/1086.txt,302582
61,POJ/61/1079.txt,302632
