Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,315602
2,POJ/61/538.txt,302323
3,POJ/61/1537.txt,302574
4,POJ/61/1251.txt,302080
5,POJ/61/921.txt,302714
6,POJ/61/935.txt,302923
7,POJ/61/1292.txt,302626
8,POJ/61/29.txt,302713
9,POJ/61/869.txt,302599
10,POJ/61/1319.txt,302372
11,POJ/61/855.txt,302378
12,POJ/61/1480.txt,302191
13,POJ/61/114.txt,301743
14,POJ/61/666.txt,301138
15,POJ/61/1127.txt,300974
16,POJ/61/1133.txt,300929
17,POJ/61/470.txt,300869
18,POJ/61/129.txt,300727
19,POJ/61/101.txt,300817
20,POJ/61/1481.txt,300484
21,POJ/61/673.txt,300423
22,POJ/61/1318.txt,300443
23,POJ/61/14.txt,300604
24,POJ/61/713.txt,300552
25,POJ/61/1293.txt,300417
26,POJ/61/920.txt,301464
27,POJ/61/908.txt,301668
28,POJ/61/1522.txt,301490
29,POJ/61/1536.txt,301628
30,POJ/61/511.txt,301401
31,POJ/61/288.txt,300418
32,POJ/61/1046.txt,300509
33,POJ/61/261.txt,300624
34,POJ/61/1252.txt,300450
35,POJ/61/1534.txt,300764
36,POJ/61/936.txt,300495
37,POJ/61/1508.txt,300472
38,POJ/61/1285.txt,300721
39,POJ/61/705.txt,300469
40,POJ/61/739.txt,300321
41,POJ/61/1332.txt,300484
42,POJ/61/1440.txt,300410
43,POJ/61/1468.txt,300857
44,POJ/61/856.txt,300511
45,POJ/61/671.txt,300543
46,POJ/61/1124.txt,300533
47,POJ/61/467.txt,300499
48,POJ/61/329.txt,301488
49,POJ/61/1119.txt,301267
50,POJ/61/894.txt,301325
51,POJ/61/880.txt,301653
52,POJ/61/116.txt,301354
53,POJ/61/1482.txt,301464
54,POJ/61/17.txt,300496
55,POJ/61/1290.txt,300477
56,POJ/61/1284.txt,300605
57,POJ/61/710.txt,300577
58,POJ/61/1535.txt,300622
59,POJ/61/1521.txt,300804
60,POJ/61/1086.txt,300493
61,POJ/61/1079.txt,300468
62,POJ/61/1069.txt,300505
63,POJ/61/270.txt,300661
64,POJ/61/1082.txt,300359
65,POJ/61/933.txt,300497
66,POJ/61/1257.txt,300578
67,POJ/61/1280.txt,300609
68,POJ/61/1294.txt,300564
69,POJ/61/1479.txt,300377
70,POJ/61/1445.txt,300405
71,POJ/61/1323.txt,300500
72,POJ/61/884.txt,300359
73,POJ/61/890.txt,300640
74,POJ/61/1486.txt,300590
75,POJ/61/674.txt,300781
76,POJ/61/489.txt,300273
77,POJ/61/1135.txt,300444
78,POJ/61/477.txt,300577
79,POJ/61/311.txt,300317
80,POJ/61/339.txt,300360
81,POJ/61/885.txt,300445
82,POJ/61/1450.txt,300574
83,POJ/61/1478.txt,301130
84,POJ/61/846.txt,300369
85,POJ/61/1295.txt,300557
86,POJ/61/1281.txt,300484
87,POJ/61/729.txt,300534
88,POJ/61/1530.txt,300536
89,POJ/61/1256.txt,300415
90,POJ/61/926.txt,300558
91,POJ/61/932.txt,300695
92,POJ/61/1097.txt,300500
93,POJ/61/517.txt,300578
94,POJ/61/1040.txt,300329
95,POJ/61/515.txt,301225
96,POJ/61/273.txt,301345
97,POJ/61/930.txt,300874
98,POJ/61/918.txt,300610
99,POJ/61/1532.txt,300777
100,POJ/61/1526.txt,300470
101,POJ/61/688.txt,300563
102,POJ/61/10.txt,300475
103,POJ/61/1320.txt,300652
104,POJ/61/1446.txt,300561
105,POJ/61/139.txt,300538
106,POJ/61/111.txt,300456
107,POJ/61/1491.txt,300798
108,POJ/61/663.txt,300615
109,POJ/61/449.txt,300500
110,POJ/61/306.txt,300355
111,POJ/61/312.txt,300401
112,POJ/61/104.txt,300558
113,POJ/61/1484.txt,300711
114,POJ/61/886.txt,300425
115,POJ/61/892.txt,300764
116,POJ/61/1453.txt,300351
117,POJ/61/39.txt,300434
118,POJ/61/845.txt,300671
119,POJ/61/851.txt,300592
120,POJ/61/11.txt,300443
121,POJ/61/1241.txt,300521
122,POJ/61/919.txt,300503
123,POJ/61/1533.txt,300781
124,POJ/61/1269.txt,300298
125,POJ/61/514.txt,300414
126,POJ/61/266.txt,300499
127,POJ/61/528.txt,300564
128,POJ/61/299.txt,300647
129,POJ/61/1030.txt,300532
130,POJ/61/1018.txt,300284
131,POJ/61/567.txt,300713
132,POJ/61/229.txt,300363
133,POJ/61/1540.txt,300609
134,POJ/61/1568.txt,300407
135,POJ/61/995.txt,300510
136,POJ/61/1420.txt,300296
137,POJ/61/76.txt,300287
138,POJ/61/836.txt,299981
139,POJ/61/62.txt,300784
140,POJ/61/89.txt,300588
141,POJ/61/611.txt,300461
142,POJ/61/177.txt,300700
143,POJ/61/1150.txt,300692
144,POJ/61/375.txt,300483
145,POJ/61/413.txt,300571
146,POJ/61/1145.txt,300674
147,POJ/61/638.txt,300799
148,POJ/61/162.txt,300600
149,POJ/61/604.txt,300488
