Database Size,File Path,Memory Usage (bytes)
1,POJ/61/510.txt,36957
2,POJ/61/538.txt,29454
3,POJ/61/1537.txt,29430
4,POJ/61/1251.txt,29406
5,POJ/61/921.txt,29438
6,POJ/61/935.txt,29414
7,POJ/61/1292.txt,29390
8,POJ/61/29.txt,29518
9,POJ/61/869.txt,29350
10,POJ/61/1319.txt,29278
11,POJ/61/855.txt,29270
12,POJ/61/1480.txt,29262
13,POJ/61/114.txt,29414
14,POJ/61/666.txt,29246
15,POJ/61/1127.txt,29238
16,POJ/61/1133.txt,29222
17,POJ/61/470.txt,29214
18,POJ/61/129.txt,29366
19,POJ/61/101.txt,29262
20,POJ/61/1481.txt,29262
21,POJ/61/673.txt,29262
22,POJ/61/1318.txt,29262
23,POJ/61/14.txt,29422
24,POJ/61/713.txt,29262
25,POJ/61/1293.txt,29262
26,POJ/61/920.txt,29198
27,POJ/61/908.txt,29198
28,POJ/61/1522.txt,29358
29,POJ/61/1536.txt,29198
30,POJ/61/511.txt,29198
31,POJ/61/288.txt,29198
32,POJ/61/1046.txt,29198
33,POJ/61/261.txt,29358
34,POJ/61/1252.txt,29198
35,POJ/61/1534.txt,29198
36,POJ/61/936.txt,29198
37,POJ/61/1508.txt,29198
38,POJ/61/1285.txt,29358
39,POJ/61/705.txt,29198
40,POJ/61/739.txt,29198
41,POJ/61/1332.txt,29198
42,POJ/61/1440.txt,29262
43,POJ/61/1468.txt,29422
44,POJ/61/856.txt,29262
45,POJ/61/671.txt,29262
46,POJ/61/1124.txt,29262
47,POJ/61/467.txt,29262
48,POJ/61/329.txt,29422
49,POJ/61/1119.txt,29198
50,POJ/61/894.txt,29198
51,POJ/61/880.txt,29198
52,POJ/61/116.txt,29198
53,POJ/61/1482.txt,29358
54,POJ/61/17.txt,29198
55,POJ/61/1290.txt,29198
56,POJ/61/1284.txt,29198
57,POJ/61/710.txt,29198
58,POJ/61/1535.txt,29358
59,POJ/61/1521.txt,29198
60,POJ/61/1086.txt,29198
61,POJ/61/1079.txt,29198
62,POJ/61/1069.txt,29198
63,POJ/61/270.txt,29358
64,POJ/61/1082.txt,29198
65,POJ/61/933.txt,29198
66,POJ/61/1257.txt,29198
67,POJ/61/1280.txt,29198
68,POJ/61/1294.txt,29358
69,POJ/61/1479.txt,29198
70,POJ/61/1445.txt,29198
71,POJ/61/1323.txt,29198
72,POJ/61/884.txt,29198
