Embedding Model,k,context window size,Mean Average Precision
ordis/jina-embeddings-v2-base-code,10,8192,0.9642606326736547
ordis/jina-embeddings-v2-base-code,50,8192,0.9061800215530016
ordis/jina-embeddings-v2-base-code,100,8192,0.8744483402721446
ordis/jina-embeddings-v2-base-code,300,8192,0.802846113283244
llama3.2,10,8192,0.8824539952297968
llama3.2,50,8192,0.6181321360581253
llama3.2,100,8192,0.4834235752968895
llama3.2,300,8192,0.2872564323315928
default,10,8192,0.9129585165046983
default,50,8192,0.7587203471210743
default,100,8192,0.6862708242778993
default,300,8192,0.5683094478475074
