Embedding Model,k,Context Window Size,Mean Average Precision
ordis/jina-embeddings-v2-base-code,10,8192,0.9640212053571441
ordis/jina-embeddings-v2-base-code,50,8192,0.9058951320322914
ordis/jina-embeddings-v2-base-code,100,8192,0.8741234413159947
ordis/jina-embeddings-v2-base-code,300,8192,0.8028630216262099
ordis/jina-embeddings-v2-base-code,10,6144,0.9640200962416672
ordis/jina-embeddings-v2-base-code,50,6144,0.9059874228872016
ordis/jina-embeddings-v2-base-code,100,6144,0.8742021253588979
ordis/jina-embeddings-v2-base-code,300,6144,0.80284617196786
ordis/jina-embeddings-v2-base-code,10,4096,0.9640978694134352
ordis/jina-embeddings-v2-base-code,50,4096,0.906002913228374
ordis/jina-embeddings-v2-base-code,100,4096,0.8742382286904442
ordis/jina-embeddings-v2-base-code,300,4096,0.8028061474448339
ordis/jina-embeddings-v2-base-code,10,2048,0.9641853487151631
ordis/jina-embeddings-v2-base-code,50,2048,0.9059409001993888
ordis/jina-embeddings-v2-base-code,100,2048,0.8741400642157093
ordis/jina-embeddings-v2-base-code,300,2048,0.8027971344383839
ordis/jina-embeddings-v2-base-code,10,1024,0.9642528878071897
ordis/jina-embeddings-v2-base-code,50,1024,0.9062363618529422
ordis/jina-embeddings-v2-base-code,100,1024,0.8744925579354451
ordis/jina-embeddings-v2-base-code,300,1024,0.8032828613134508
ordis/jina-embeddings-v2-base-code,10,512,0.9688634608237919
ordis/jina-embeddings-v2-base-code,50,512,0.9175630387136946
ordis/jina-embeddings-v2-base-code,100,512,0.8890673631104468
ordis/jina-embeddings-v2-base-code,300,512,0.8218673111282356
ordis/jina-embeddings-v2-base-code,10,256,0.9548126063046329
ordis/jina-embeddings-v2-base-code,50,256,0.8784652273611643
ordis/jina-embeddings-v2-base-code,100,256,0.8385656516285405
ordis/jina-embeddings-v2-base-code,300,256,0.7550920694428525
ordis/jina-embeddings-v2-base-code,10,128,0.9166507635920964
ordis/jina-embeddings-v2-base-code,50,128,0.7786774209468629
ordis/jina-embeddings-v2-base-code,100,128,0.7154797532510616
ordis/jina-embeddings-v2-base-code,300,128,0.6059202952323004
ordis/jina-embeddings-v2-base-code,10,64,0.8784966222781547
ordis/jina-embeddings-v2-base-code,50,64,0.6719587312127872
ordis/jina-embeddings-v2-base-code,100,64,0.5844678800477419
ordis/jina-embeddings-v2-base-code,300,64,0.45618702864739896
ordis/jina-embeddings-v2-base-code,10,32,0.8666548102632671
ordis/jina-embeddings-v2-base-code,50,32,0.6267663751559372
ordis/jina-embeddings-v2-base-code,100,32,0.5224015412700529
ordis/jina-embeddings-v2-base-code,300,32,0.37658054230621174
ordis/jina-embeddings-v2-base-code,10,16,0.7802610105102624
ordis/jina-embeddings-v2-base-code,50,16,0.57124966966254
ordis/jina-embeddings-v2-base-code,100,16,0.471977622489489
ordis/jina-embeddings-v2-base-code,300,16,0.3314415696077064
ordis/jina-embeddings-v2-base-code,10,8,0.2341297873477457
ordis/jina-embeddings-v2-base-code,50,8,0.1883266258608491
ordis/jina-embeddings-v2-base-code,100,8,0.16218856234029594
ordis/jina-embeddings-v2-base-code,300,8,0.1744499636650336
