Embedding Model,k,Context Window Size,Mean Average Precision
ordis/jina-embeddings-v2-base-code,10,8192,0.9635114932433116
ordis/jina-embeddings-v2-base-code,50,8192,0.9046622384154857
ordis/jina-embeddings-v2-base-code,100,8192,0.8737929639872005
ordis/jina-embeddings-v2-base-code,300,8192,0.8022865505589406
ordis/jina-embeddings-v2-base-code,10,6144,0.9634615118823546
ordis/jina-embeddings-v2-base-code,50,6144,0.9045379062054418
ordis/jina-embeddings-v2-base-code,100,6144,0.8743032176806353
ordis/jina-embeddings-v2-base-code,300,6144,0.8023155050646283
ordis/jina-embeddings-v2-base-code,10,4096,0.9637072731790379
ordis/jina-embeddings-v2-base-code,50,4096,0.9048587533488114
ordis/jina-embeddings-v2-base-code,100,4096,0.8742274443001363
ordis/jina-embeddings-v2-base-code,300,4096,0.8022594081237072
ordis/jina-embeddings-v2-base-code,10,2048,0.9638101236021481
ordis/jina-embeddings-v2-base-code,50,2048,0.9045890302516715
ordis/jina-embeddings-v2-base-code,100,2048,0.8742630465424669
ordis/jina-embeddings-v2-base-code,300,2048,0.8022431446320388
ordis/jina-embeddings-v2-base-code,10,1024,0.9637252887673966
ordis/jina-embeddings-v2-base-code,50,1024,0.9047631546310231
ordis/jina-embeddings-v2-base-code,100,1024,0.8746344462173398
ordis/jina-embeddings-v2-base-code,300,1024,0.8027089737705708
ordis/jina-embeddings-v2-base-code,10,512,0.9684153558891545
ordis/jina-embeddings-v2-base-code,50,512,0.9161070930265733
ordis/jina-embeddings-v2-base-code,100,512,0.8890735076930969
ordis/jina-embeddings-v2-base-code,300,512,0.8213626578354798
ordis/jina-embeddings-v2-base-code,10,256,0.9543819315954689
ordis/jina-embeddings-v2-base-code,50,256,0.8772298955873826
ordis/jina-embeddings-v2-base-code,100,256,0.8382483831924971
ordis/jina-embeddings-v2-base-code,300,256,0.7546816740996531
ordis/jina-embeddings-v2-base-code,10,128,0.9161922697843177
ordis/jina-embeddings-v2-base-code,50,128,0.7774283709443217
ordis/jina-embeddings-v2-base-code,100,128,0.7148198429121043
ordis/jina-embeddings-v2-base-code,300,128,0.6054015590292775
ordis/jina-embeddings-v2-base-code,10,64,0.8773324231089918
ordis/jina-embeddings-v2-base-code,50,64,0.6712406661302361
ordis/jina-embeddings-v2-base-code,100,64,0.5833239512308744
ordis/jina-embeddings-v2-base-code,300,64,0.45555429925000135
ordis/jina-embeddings-v2-base-code,10,32,0.8643063037912314
ordis/jina-embeddings-v2-base-code,50,32,0.626394782171262
ordis/jina-embeddings-v2-base-code,100,32,0.5205367665368623
ordis/jina-embeddings-v2-base-code,300,32,0.3757079720888533
ordis/jina-embeddings-v2-base-code,10,16,0.7803994165099336
ordis/jina-embeddings-v2-base-code,50,16,0.576398351900338
ordis/jina-embeddings-v2-base-code,100,16,0.4772463029836146
ordis/jina-embeddings-v2-base-code,300,16,0.328747973004465
ordis/jina-embeddings-v2-base-code,10,8,0.3164935890376646
ordis/jina-embeddings-v2-base-code,50,8,0.2605022979002994
ordis/jina-embeddings-v2-base-code,100,8,0.2191269192587544
ordis/jina-embeddings-v2-base-code,300,8,0.17215720851295518
