Embedding Model,k,Context Window Size,Mean Average Precision
ordis/jina-embeddings-v2-base-code,10,8192,0.9640075244472799
ordis/jina-embeddings-v2-base-code,50,8192,0.905377900238529
ordis/jina-embeddings-v2-base-code,100,8192,0.8730631436960075
ordis/jina-embeddings-v2-base-code,300,8192,0.8021973724114257
ordis/jina-embeddings-v2-base-code,10,6144,0.9640075244472799
ordis/jina-embeddings-v2-base-code,50,6144,0.9053764116902142
ordis/jina-embeddings-v2-base-code,100,6144,0.8730623254124483
ordis/jina-embeddings-v2-base-code,300,6144,0.8021973794972063
ordis/jina-embeddings-v2-base-code,10,4096,0.9640074079646112
ordis/jina-embeddings-v2-base-code,50,4096,0.9053745042853442
ordis/jina-embeddings-v2-base-code,100,4096,0.8730578443440291
ordis/jina-embeddings-v2-base-code,300,4096,0.8021895681517244
ordis/jina-embeddings-v2-base-code,10,2048,0.9640597591066346
ordis/jina-embeddings-v2-base-code,50,2048,0.9053218497682564
ordis/jina-embeddings-v2-base-code,100,2048,0.8729965412031456
ordis/jina-embeddings-v2-base-code,300,2048,0.802172984631276
ordis/jina-embeddings-v2-base-code,10,1024,0.9641913530310636
ordis/jina-embeddings-v2-base-code,50,1024,0.9055772704197556
ordis/jina-embeddings-v2-base-code,100,1024,0.8733036216389323
ordis/jina-embeddings-v2-base-code,300,1024,0.8026168321520619
ordis/jina-embeddings-v2-base-code,10,512,0.9688438813636245
ordis/jina-embeddings-v2-base-code,50,512,0.9169604924377458
ordis/jina-embeddings-v2-base-code,100,512,0.8878763341621083
ordis/jina-embeddings-v2-base-code,300,512,0.8212808372892023
ordis/jina-embeddings-v2-base-code,10,256,0.9545091619213598
ordis/jina-embeddings-v2-base-code,50,256,0.8776654424124933
ordis/jina-embeddings-v2-base-code,100,256,0.8373259774133084
ordis/jina-embeddings-v2-base-code,300,256,0.754612405056525
ordis/jina-embeddings-v2-base-code,10,128,0.9164605829523542
ordis/jina-embeddings-v2-base-code,50,128,0.7774929881055003
ordis/jina-embeddings-v2-base-code,100,128,0.7135456003494464
ordis/jina-embeddings-v2-base-code,300,128,0.6053200627485502
ordis/jina-embeddings-v2-base-code,10,64,0.8785939700709035
ordis/jina-embeddings-v2-base-code,50,64,0.6708524312137835
ordis/jina-embeddings-v2-base-code,100,64,0.5823660730801498
ordis/jina-embeddings-v2-base-code,300,64,0.45537629015447784
ordis/jina-embeddings-v2-base-code,10,32,0.866625804225488
ordis/jina-embeddings-v2-base-code,50,32,0.6255331992331677
ordis/jina-embeddings-v2-base-code,100,32,0.5201346705459488
ordis/jina-embeddings-v2-base-code,300,32,0.3755702367375938
ordis/jina-embeddings-v2-base-code,10,16,0.7951759887523335
ordis/jina-embeddings-v2-base-code,50,16,0.5786049229439721
ordis/jina-embeddings-v2-base-code,100,16,0.47560487639431565
ordis/jina-embeddings-v2-base-code,300,16,0.32731183585538676
ordis/jina-embeddings-v2-base-code,10,8,0.352666817442628
ordis/jina-embeddings-v2-base-code,50,8,0.2795179775251318
ordis/jina-embeddings-v2-base-code,100,8,0.2384602723537303
ordis/jina-embeddings-v2-base-code,300,8,0.1687199299145726
