Embedding Model,k,Context Window Size,Mean Average Precision
ordis/jina-embeddings-v2-base-code,10,8192,0.9640967096227755
ordis/jina-embeddings-v2-base-code,50,8192,0.9054791436976531
ordis/jina-embeddings-v2-base-code,100,8192,0.8731563044925171
ordis/jina-embeddings-v2-base-code,300,8192,0.8023504664265257
ordis/jina-embeddings-v2-base-code,10,6144,0.9641450792802898
ordis/jina-embeddings-v2-base-code,50,6144,0.905498640912266
ordis/jina-embeddings-v2-base-code,100,6144,0.873145436465757
ordis/jina-embeddings-v2-base-code,300,6144,0.8023430877032315
ordis/jina-embeddings-v2-base-code,10,4096,0.9640878386522004
ordis/jina-embeddings-v2-base-code,50,4096,0.9054901584996754
ordis/jina-embeddings-v2-base-code,100,4096,0.8731078410548933
ordis/jina-embeddings-v2-base-code,300,4096,0.8022928334658748
ordis/jina-embeddings-v2-base-code,10,2048,0.9641352438065703
ordis/jina-embeddings-v2-base-code,50,2048,0.9054544922182076
ordis/jina-embeddings-v2-base-code,100,2048,0.8730863446152249
ordis/jina-embeddings-v2-base-code,300,2048,0.8022817219299815
ordis/jina-embeddings-v2-base-code,10,1024,0.964237221004856
ordis/jina-embeddings-v2-base-code,50,1024,0.9057672978441262
ordis/jina-embeddings-v2-base-code,100,1024,0.8733990956030221
ordis/jina-embeddings-v2-base-code,300,1024,0.8027695020090033
ordis/jina-embeddings-v2-base-code,10,512,0.9689950922867412
ordis/jina-embeddings-v2-base-code,50,512,0.9170686035191686
ordis/jina-embeddings-v2-base-code,100,512,0.887982798061658
ordis/jina-embeddings-v2-base-code,300,512,0.8213792871662695
ordis/jina-embeddings-v2-base-code,10,256,0.9547004984180312
ordis/jina-embeddings-v2-base-code,50,256,0.8777857061777311
ordis/jina-embeddings-v2-base-code,100,256,0.8374208336360709
ordis/jina-embeddings-v2-base-code,300,256,0.7547434323001906
ordis/jina-embeddings-v2-base-code,10,128,0.9166057914340728
ordis/jina-embeddings-v2-base-code,50,128,0.7776811543372414
ordis/jina-embeddings-v2-base-code,100,128,0.7137196825046174
ordis/jina-embeddings-v2-base-code,300,128,0.6055623319891562
ordis/jina-embeddings-v2-base-code,10,64,0.878703545994045
ordis/jina-embeddings-v2-base-code,50,64,0.6710870582642492
ordis/jina-embeddings-v2-base-code,100,64,0.5826058162299921
ordis/jina-embeddings-v2-base-code,300,64,0.4556819476761958
ordis/jina-embeddings-v2-base-code,10,32,0.866678777000069
ordis/jina-embeddings-v2-base-code,50,32,0.6257666680881633
ordis/jina-embeddings-v2-base-code,100,32,0.520399140614819
ordis/jina-embeddings-v2-base-code,300,32,0.3758648592859695
ordis/jina-embeddings-v2-base-code,10,16,0.7875186367586123
ordis/jina-embeddings-v2-base-code,50,16,0.5794034555831126
ordis/jina-embeddings-v2-base-code,100,16,0.47563251887162955
ordis/jina-embeddings-v2-base-code,300,16,0.3279502450683235
ordis/jina-embeddings-v2-base-code,10,8,0.30774025872610655
ordis/jina-embeddings-v2-base-code,50,8,0.26825504940318823
ordis/jina-embeddings-v2-base-code,100,8,0.22590532810907313
ordis/jina-embeddings-v2-base-code,300,8,0.1623534811834975
