Embedding Model,Path,k,Mean Average Precision
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,10,0.9987182150112474
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,50,0.9979749899904045
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,100,0.9977502818800965
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,300,0.9974267021560724
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,10,0.9970954236489291
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,50,0.9926649147573975
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,100,0.990764330930074
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,300,0.9891625551296496
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,10,0.9958364637115896
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,50,0.9898005151314461
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,100,0.9874702025130236
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,300,0.9812240644016558
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,10,0.9963545428022318
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,50,0.9916120173191998
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,100,0.9896593833058028
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,300,0.9882209010450305
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,10,0.9281376680301745
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,50,0.8051804099506197
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,100,0.744041963952097
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,300,0.6385863211978813
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,10,0.9110107435015532
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,50,0.7410564649455262
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,100,0.6640672115173967
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,300,0.5529525572631379
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,10,0.9019627293263742
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,50,0.7506587911286884
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,100,0.6786189422032118
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,300,0.5583730680350294
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,10,0.9354397145373172
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,50,0.8269968247554743
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,100,0.7721126500050829
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,300,0.6669001105983492
