Embedding Model,Path,k,Mean Average Precision
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,10,0.999058257200963
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,50,0.9980942417638523
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,100,0.997671633759538
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,300,0.9972056666841546
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,10,0.9971381237196528
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,50,0.9922110759158836
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,100,0.9902206501258863
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,300,0.9880190461263532
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,10,0.9958364637115896
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,50,0.9898020049517636
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,100,0.9870463666200111
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,300,0.9811277831241739
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,10,0.9966127525093668
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,50,0.9915173127819643
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,100,0.9891699190959993
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,300,0.9874751254589879
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,10,0.9277441136423051
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,50,0.8027243549987936
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,100,0.7392336645118788
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,300,0.6334851254913231
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,10,0.910584135249458
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,50,0.7379543104797558
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,100,0.6589248954728804
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,300,0.5444829262849633
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,10,0.9019627293263742
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,50,0.7505527743192812
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,100,0.6782231915213517
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,300,0.5584669295272543
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,10,0.9352413629387211
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,50,0.8227652347058216
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,100,0.7637760839919657
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,300,0.6562320876797936
