Embedding Model,Path,k,Mean Average Precision
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,10,0.9990769430178164
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,50,0.9980739986603947
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,100,0.9976996741784268
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,300,0.9971404219085278
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,10,0.9970548583540184
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,50,0.9926884681168417
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,100,0.9906888129561013
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,300,0.988970977975116
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,10,0.9959406653452475
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,50,0.9894761335100974
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,100,0.9870517839647988
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,300,0.9811291518912856
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,10,0.9965027246420989
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,50,0.9916712003218769
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,100,0.9896437458933467
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,300,0.9881083793265006
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,10,0.9280389278774283
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,50,0.8045871050149882
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,100,0.7426858838564426
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,300,0.6384056066975868
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,10,0.9108864659980447
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,50,0.7405708492695093
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,100,0.663209814453422
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,300,0.5528938424636144
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,10,0.9019339564879336
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,50,0.7501751736983159
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,100,0.6780654781449372
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,300,0.5584678199810429
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,10,0.9353646071953594
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,50,0.8262204603732094
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,100,0.7709934010909516
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,300,0.6667903307139716
