Embedding Model,Path,k,Mean Average Precision
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,10,0.9986503060509729
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,50,0.9981701058984889
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,100,0.9978086907820267
voyage-code-3,GCJ2-4/GCJ2-4_cpp/data/,300,0.9972402111728265
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,10,0.9971437109266692
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,50,0.9927342621348958
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,100,0.9906469527482507
voyage-code-3,GCJ2-4/GCJ2-4_java/data/,300,0.9890772323155409
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,10,0.9958840188195677
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,50,0.9895038810108705
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,100,0.9870385578500059
voyage-code-3,GCJ2-4/GCJ2-4_php/data/,300,0.9811278763016411
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,10,0.9963784593646706
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,50,0.9916149583723609
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,100,0.9896412842424315
voyage-code-3,GCJ2-4/GCJ2-4_py/data/,300,0.9880812567225075
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,10,0.927901531324376
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,50,0.8046441686649326
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,100,0.7427913123007625
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_cpp/data/,300,0.6384559491194539
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,10,0.9107383227788327
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,50,0.7405125848293858
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,100,0.6632016278488874
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_java/data/,300,0.552897221242507
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,10,0.9019892542868115
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,50,0.7505158981078921
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,100,0.6780483627186622
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_php/data/,300,0.5583887601158695
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,10,0.9354476028029882
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,50,0.8262697918923281
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,100,0.7710056864741649
ordis/jina-embeddings-v2-base-code,GCJ2-4/GCJ2-4_py/data/,300,0.6668250719604315
